data,inizio sintomi,prelievo/diagnosi
2021-11-20,764,
2021-11-21,878,
2021-11-22,1924,
2021-11-23,2614,
2021-11-24,3863,
2021-11-25,5610,
2021-11-26,7221,14087
2021-11-27,7016,12297
2021-11-28,7046,5719
2021-11-29,8768,16129
2021-11-30,8182,16290
2021-12-01,9661,16158
2021-12-02,8367,16949
2021-12-03,8507,17364
2021-12-04,8254,14486
2021-12-05,8177,6923
2021-12-06,10194,19795
2021-12-07,9770,20283
2021-12-08,9802,10129
2021-12-09,10061,21321
2021-12-10,10533,22584
2021-12-11,9859,19034
2021-12-12,9982,9019
2021-12-13,11920,25271
2021-12-14,11371,25934
2021-12-15,10440,26076
2021-12-16,9593,26502
2021-12-17,9146,28780
2021-12-18,8323,23322
2021-12-19,7780,11963
2021-12-20,8625,33037
2021-12-21,6665,32807
2021-12-22,4096,34187
2021-12-23,1700,28734
2021-12-24,407,18987
2021-12-25,5,43
