data,inizio sintomi,prelievo/diagnosi
2022-02-07,351,
2022-02-08,408,
2022-02-09,673,
2022-02-10,1437,
2022-02-11,2951,
2022-02-12,6699,
2022-02-13,12074,22986
2022-02-14,18716,74687
2022-02-15,15700,54398
2022-02-16,15874,55415
2022-02-17,15046,50149
2022-02-18,13901,48616
2022-02-19,12517,40508
2022-02-20,12477,19629
2022-02-21,16536,62868
2022-02-22,13991,44356
2022-02-23,14407,45318
2022-02-24,12072,39465
2022-02-25,11116,37370
2022-02-26,10047,30067
2022-02-27,9782,14820
2022-02-28,14595,51230
2022-03-01,13585,34969
2022-03-02,13658,41378
2022-03-03,12846,38438
2022-03-04,12469,40017
2022-03-05,11874,35042
2022-03-06,11020,18107
2022-03-07,15136,58872
2022-03-08,12986,43735
2022-03-09,12107,47691
2022-03-10,9005,43398
2022-03-11,5851,35157
2022-03-12,3132,21602
2022-03-13,471,1621
2022-03-14,1,2
