data,regione,classe_incidenza
20-02-22,Piemonte,0.01-1
20-02-23,Piemonte,0.01-1
20-02-24,Piemonte,0.01-1
20-02-25,Piemonte,0.01-1
20-02-26,Piemonte,0.01-1
20-02-27,Piemonte,0.01-1
20-02-28,Piemonte,0.01-1
20-02-29,Piemonte,0.01-1
20-03-01,Piemonte,0.01-1
20-03-02,Piemonte,0.01-1
20-03-03,Piemonte,0.01-1
20-03-04,Piemonte,0.01-1
20-03-05,Piemonte,0.01-1
20-05-24,Piemonte,0.01-1
20-05-31,Piemonte,0.01-1
20-06-02,Piemonte,0.01-1
20-06-03,Piemonte,0.01-1
20-06-04,Piemonte,0.01-1
20-06-05,Piemonte,0.01-1
20-06-06,Piemonte,0.01-1
20-06-07,Piemonte,0.01-1
20-06-08,Piemonte,0.01-1
20-06-09,Piemonte,0.01-1
20-06-10,Piemonte,0.01-1
20-06-11,Piemonte,0.01-1
20-06-12,Piemonte,0.01-1
20-06-13,Piemonte,0.01-1
20-06-14,Piemonte,0.01-1
20-06-15,Piemonte,0.01-1
20-06-16,Piemonte,0.01-1
20-06-17,Piemonte,0.01-1
20-06-18,Piemonte,0.01-1
20-06-19,Piemonte,0.01-1
20-06-20,Piemonte,0.01-1
20-06-21,Piemonte,0.01-1
20-06-22,Piemonte,0.01-1
20-06-23,Piemonte,0.01-1
20-06-24,Piemonte,0.01-1
20-06-25,Piemonte,0.01-1
20-06-26,Piemonte,0.01-1
20-06-27,Piemonte,0.01-1
20-06-28,Piemonte,0.01-1
20-06-29,Piemonte,0.01-1
20-06-30,Piemonte,0.01-1
20-07-01,Piemonte,0.01-1
20-07-02,Piemonte,0.01-1
20-07-03,Piemonte,0.01-1
20-07-04,Piemonte,0.01-1
20-07-05,Piemonte,0.01-1
20-07-06,Piemonte,0.01-1
20-07-07,Piemonte,0.01-1
20-07-08,Piemonte,0.01-1
20-07-09,Piemonte,0.01-1
20-07-10,Piemonte,0.01-1
20-07-11,Piemonte,0.01-1
20-07-12,Piemonte,0.01-1
20-07-13,Piemonte,0.01-1
20-07-14,Piemonte,0.01-1
20-07-15,Piemonte,0.01-1
20-07-16,Piemonte,0.01-1
20-07-17,Piemonte,0.01-1
20-07-18,Piemonte,0.01-1
20-07-19,Piemonte,0.01-1
20-07-20,Piemonte,0.01-1
20-07-21,Piemonte,0.01-1
20-07-22,Piemonte,0.01-1
20-07-23,Piemonte,0.01-1
20-07-24,Piemonte,0.01-1
20-07-25,Piemonte,0.01-1
20-07-26,Piemonte,0.01-1
20-07-27,Piemonte,0.01-1
20-07-28,Piemonte,0.01-1
20-07-29,Piemonte,0.01-1
20-07-30,Piemonte,0.01-1
20-07-31,Piemonte,0.01-1
20-08-01,Piemonte,0.01-1
20-08-02,Piemonte,0.01-1
20-08-03,Piemonte,0.01-1
20-08-04,Piemonte,0.01-1
20-08-05,Piemonte,0.01-1
20-08-06,Piemonte,0.01-1
20-08-07,Piemonte,0.01-1
20-08-08,Piemonte,0.01-1
20-08-09,Piemonte,0.01-1
20-08-10,Piemonte,0.01-1
20-08-11,Piemonte,0.01-1
20-08-12,Piemonte,0.01-1
20-03-06,Valle Aosta,0.01-1
20-03-08,Valle Aosta,0.01-1
20-04-20,Valle Aosta,0.01-1
20-04-22,Valle Aosta,0.01-1
20-05-10,Valle Aosta,0.01-1
20-05-11,Valle Aosta,0.01-1
20-05-20,Valle Aosta,0.01-1
20-05-21,Valle Aosta,0.01-1
20-05-22,Valle Aosta,0.01-1
20-05-24,Valle Aosta,0.01-1
20-05-28,Valle Aosta,0.01-1
20-05-29,Valle Aosta,0.01-1
20-06-04,Valle Aosta,0.01-1
20-06-06,Valle Aosta,0.01-1
20-06-12,Valle Aosta,0.01-1
20-06-29,Valle Aosta,0.01-1
20-07-02,Valle Aosta,0.01-1
20-08-04,Valle Aosta,0.01-1
20-08-09,Valle Aosta,0.01-1
20-02-20,Lombardia,0.01-1
20-02-21,Lombardia,0.01-1
20-02-22,Lombardia,0.01-1
20-02-23,Lombardia,0.01-1
20-02-24,Lombardia,0.01-1
20-02-25,Lombardia,0.01-1
20-05-10,Lombardia,0.01-1
20-05-17,Lombardia,0.01-1
20-05-24,Lombardia,0.01-1
20-05-31,Lombardia,0.01-1
20-06-02,Lombardia,0.01-1
20-06-07,Lombardia,0.01-1
20-06-14,Lombardia,0.01-1
20-06-20,Lombardia,0.01-1
20-06-21,Lombardia,0.01-1
20-06-25,Lombardia,0.01-1
20-06-27,Lombardia,0.01-1
20-06-28,Lombardia,0.01-1
20-06-30,Lombardia,0.01-1
20-07-04,Lombardia,0.01-1
20-07-05,Lombardia,0.01-1
20-07-07,Lombardia,0.01-1
20-07-09,Lombardia,0.01-1
20-07-11,Lombardia,0.01-1
20-07-12,Lombardia,0.01-1
20-07-13,Lombardia,0.01-1
20-07-14,Lombardia,0.01-1
20-07-15,Lombardia,0.01-1
20-07-16,Lombardia,0.01-1
20-07-17,Lombardia,0.01-1
20-07-18,Lombardia,0.01-1
20-07-19,Lombardia,0.01-1
20-07-20,Lombardia,0.01-1
20-07-21,Lombardia,0.01-1
20-07-22,Lombardia,0.01-1
20-07-23,Lombardia,0.01-1
20-07-24,Lombardia,0.01-1
20-07-25,Lombardia,0.01-1
20-07-26,Lombardia,0.01-1
20-07-27,Lombardia,0.01-1
20-07-28,Lombardia,0.01-1
20-07-29,Lombardia,0.01-1
20-07-30,Lombardia,0.01-1
20-07-31,Lombardia,0.01-1
20-08-01,Lombardia,0.01-1
20-08-02,Lombardia,0.01-1
20-08-04,Lombardia,0.01-1
20-08-05,Lombardia,0.01-1
20-08-06,Lombardia,0.01-1
20-08-07,Lombardia,0.01-1
20-08-08,Lombardia,0.01-1
20-08-09,Lombardia,0.01-1
20-08-10,Lombardia,0.01-1
20-08-11,Lombardia,0.01-1
20-08-12,Lombardia,0.01-1
20-08-13,Lombardia,0.01-1
20-08-14,Lombardia,0.01-1
20-02-24,PA Bolzano,0.01-1
20-03-05,PA Bolzano,0.01-1
20-03-06,PA Bolzano,0.01-1
20-04-29,PA Bolzano,0.01-1
20-05-01,PA Bolzano,0.01-1
20-05-02,PA Bolzano,0.01-1
20-05-03,PA Bolzano,0.01-1
20-05-04,PA Bolzano,0.01-1
20-05-06,PA Bolzano,0.01-1
20-05-08,PA Bolzano,0.01-1
20-05-09,PA Bolzano,0.01-1
20-05-10,PA Bolzano,0.01-1
20-05-11,PA Bolzano,0.01-1
20-05-12,PA Bolzano,0.01-1
20-05-13,PA Bolzano,0.01-1
20-05-16,PA Bolzano,0.01-1
20-05-17,PA Bolzano,0.01-1
20-05-20,PA Bolzano,0.01-1
20-05-21,PA Bolzano,0.01-1
20-05-22,PA Bolzano,0.01-1
20-05-23,PA Bolzano,0.01-1
20-05-25,PA Bolzano,0.01-1
20-05-26,PA Bolzano,0.01-1
20-05-28,PA Bolzano,0.01-1
20-05-30,PA Bolzano,0.01-1
20-06-03,PA Bolzano,0.01-1
20-06-04,PA Bolzano,0.01-1
20-06-05,PA Bolzano,0.01-1
20-06-09,PA Bolzano,0.01-1
20-06-10,PA Bolzano,0.01-1
20-06-11,PA Bolzano,0.01-1
20-06-12,PA Bolzano,0.01-1
20-06-16,PA Bolzano,0.01-1
20-06-17,PA Bolzano,0.01-1
20-06-18,PA Bolzano,0.01-1
20-06-19,PA Bolzano,0.01-1
20-06-22,PA Bolzano,0.01-1
20-06-26,PA Bolzano,0.01-1
20-06-27,PA Bolzano,0.01-1
20-06-29,PA Bolzano,0.01-1
20-07-01,PA Bolzano,0.01-1
20-07-02,PA Bolzano,0.01-1
20-07-03,PA Bolzano,0.01-1
20-07-06,PA Bolzano,0.01-1
20-07-07,PA Bolzano,0.01-1
20-07-09,PA Bolzano,0.01-1
20-07-10,PA Bolzano,0.01-1
20-07-11,PA Bolzano,0.01-1
20-07-13,PA Bolzano,0.01-1
20-07-14,PA Bolzano,0.01-1
20-07-15,PA Bolzano,0.01-1
20-07-16,PA Bolzano,0.01-1
20-07-17,PA Bolzano,0.01-1
20-07-18,PA Bolzano,0.01-1
20-07-20,PA Bolzano,0.01-1
20-07-21,PA Bolzano,0.01-1
20-07-22,PA Bolzano,0.01-1
20-07-23,PA Bolzano,0.01-1
20-07-24,PA Bolzano,0.01-1
20-07-25,PA Bolzano,0.01-1
20-07-26,PA Bolzano,0.01-1
20-08-01,PA Bolzano,0.01-1
20-08-02,PA Bolzano,0.01-1
20-08-06,PA Bolzano,0.01-1
20-08-08,PA Bolzano,0.01-1
20-08-10,PA Bolzano,0.01-1
20-08-11,PA Bolzano,0.01-1
20-08-13,PA Bolzano,0.01-1
20-03-02,PA Trento,0.01-1
20-03-03,PA Trento,0.01-1
20-03-04,PA Trento,0.01-1
20-03-05,PA Trento,0.01-1
20-03-06,PA Trento,0.01-1
20-05-03,PA Trento,0.01-1
20-05-21,PA Trento,0.01-1
20-05-23,PA Trento,0.01-1
20-05-24,PA Trento,0.01-1
20-05-28,PA Trento,0.01-1
20-05-29,PA Trento,0.01-1
20-05-31,PA Trento,0.01-1
20-06-01,PA Trento,0.01-1
20-06-03,PA Trento,0.01-1
20-06-04,PA Trento,0.01-1
20-06-05,PA Trento,0.01-1
20-06-06,PA Trento,0.01-1
20-06-07,PA Trento,0.01-1
20-06-08,PA Trento,0.01-1
20-06-09,PA Trento,0.01-1
20-06-10,PA Trento,0.01-1
20-06-11,PA Trento,0.01-1
20-06-13,PA Trento,0.01-1
20-06-14,PA Trento,0.01-1
20-06-15,PA Trento,0.01-1
20-06-16,PA Trento,0.01-1
20-06-17,PA Trento,0.01-1
20-06-18,PA Trento,0.01-1
20-06-19,PA Trento,0.01-1
20-06-21,PA Trento,0.01-1
20-06-22,PA Trento,0.01-1
20-06-23,PA Trento,0.01-1
20-06-24,PA Trento,0.01-1
20-06-25,PA Trento,0.01-1
20-06-26,PA Trento,0.01-1
20-07-01,PA Trento,0.01-1
20-07-02,PA Trento,0.01-1
20-07-03,PA Trento,0.01-1
20-07-06,PA Trento,0.01-1
20-07-07,PA Trento,0.01-1
20-07-08,PA Trento,0.01-1
20-07-15,PA Trento,0.01-1
20-07-17,PA Trento,0.01-1
20-07-19,PA Trento,0.01-1
20-07-26,PA Trento,0.01-1
20-07-27,PA Trento,0.01-1
20-07-28,PA Trento,0.01-1
20-07-29,PA Trento,0.01-1
20-07-31,PA Trento,0.01-1
20-08-02,PA Trento,0.01-1
20-08-03,PA Trento,0.01-1
20-08-04,PA Trento,0.01-1
20-08-05,PA Trento,0.01-1
20-08-06,PA Trento,0.01-1
20-08-07,PA Trento,0.01-1
20-08-09,PA Trento,0.01-1
20-08-10,PA Trento,0.01-1
20-08-11,PA Trento,0.01-1
20-08-12,PA Trento,0.01-1
20-08-13,PA Trento,0.01-1
20-02-21,Veneto,0.01-1
20-02-22,Veneto,0.01-1
