data,inizio sintomi,prelievo/diagnosi
2020-08-03,45,
2020-08-04,50,
2020-08-05,72,
2020-08-06,80,
2020-08-07,97,
2020-08-08,156,
2020-08-09,175,
2020-08-10,254,484
2020-08-11,240,517
2020-08-12,254,625
2020-08-13,258,548
2020-08-14,280,624
2020-08-15,304,319
2020-08-16,339,304
2020-08-17,508,681
2020-08-18,581,910
2020-08-19,522,1037
2020-08-20,528,1090
2020-08-21,560,1367
2020-08-22,500,1002
2020-08-23,510,688
2020-08-24,578,1586
2020-08-25,526,1564
2020-08-26,515,1412
2020-08-27,440,1488
2020-08-28,433,1397
2020-08-29,306,977
2020-08-30,317,525
2020-08-31,338,1248
2020-09-01,358,1272
2020-09-02,284,1451
2020-09-03,186,1354
2020-09-04,162,1330
2020-09-05,89,895
2020-09-06,33,304
2020-09-07,29,252
2020-09-08,1,
