data,inizio sintomi,prelievo/diagnosi
2022-03-28,387,
2022-03-29,459,
2022-03-30,852,
2022-03-31,1341,
2022-04-01,4715,
2022-04-02,8704,
2022-04-03,15111,25628
2022-04-04,23996,96015
2022-04-05,20988,69299
2022-04-06,21049,71709
2022-04-07,19059,65609
2022-04-08,17881,64223
2022-04-09,16532,53692
2022-04-10,14978,23461
2022-04-11,21867,88392
2022-04-12,18683,60517
2022-04-13,18646,64105
2022-04-14,16909,61777
2022-04-15,15521,63270
2022-04-16,13791,52660
2022-04-17,11661,16193
2022-04-18,15243,25032
2022-04-19,24045,107071
2022-04-20,21265,74594
2022-04-21,18946,71264
2022-04-22,16283,69814
2022-04-23,13224,54117
2022-04-24,11004,22963
2022-04-25,13204,24949
2022-04-26,18352,85340
2022-04-27,13288,52279
2022-04-28,9431,44672
2022-04-29,5069,28826
2022-04-30,2171,17395
2022-05-01,363,761
2022-05-02,1,1
