data,inizio sintomi,prelievo/diagnosi
2021-12-06,1290,
2021-12-07,1697,
2021-12-08,2675,
2021-12-09,3631,
2021-12-10,5962,
2021-12-11,8103,
2021-12-12,10655,9227
2021-12-13,13578,25682
2021-12-14,13343,26373
2021-12-15,13245,26569
2021-12-16,12891,27131
2021-12-17,14019,29818
2021-12-18,14257,24180
2021-12-19,15488,12522
2021-12-20,22383,38082
2021-12-21,22620,41878
2021-12-22,24031,51057
2021-12-23,24640,57374
2021-12-24,26715,57274
2021-12-25,26314,14944
2021-12-26,35876,27958
2021-12-27,48204,105726
2021-12-28,44293,119911
2021-12-29,36133,141646
2021-12-30,26983,144149
2021-12-31,18899,115731
2022-01-01,19400,29567
2022-01-02,19016,54199
2022-01-03,21558,149725
2022-01-04,13838,136740
2022-01-05,10317,131022
2022-01-06,6196,40484
2022-01-07,4691,124357
2022-01-08,1707,62390
2022-01-09,553,15339
2022-01-10,6,88
