data,inizio sintomi,prelievo/diagnosi
2021-11-30,892,
2021-12-01,1950,
2021-12-02,2467,
2021-12-03,3923,
2021-12-04,5393,
2021-12-05,7095,
2021-12-06,10165,19821
2021-12-07,9948,20314
2021-12-08,10130,10142
2021-12-09,10478,21408
2021-12-10,11126,22700
2021-12-11,10685,19235
2021-12-12,11019,9221
2021-12-13,13651,25657
2021-12-14,13373,26351
2021-12-15,13138,26544
2021-12-16,12753,27088
2021-12-17,13738,29776
2021-12-18,13994,24150
2021-12-19,15086,12498
2021-12-20,21290,37954
2021-12-21,21278,41539
2021-12-22,21919,50289
2021-12-23,21314,55868
2021-12-24,21176,55291
2021-12-25,19511,14231
2021-12-26,25094,25470
2021-12-27,29262,94980
2021-12-28,23930,104792
2021-12-29,16797,117473
2021-12-30,10733,106995
2021-12-31,6232,78266
2022-01-01,4289,15902
2022-01-02,2351,24423
2022-01-03,1468,66374
2022-01-04,4,176
