data,inizio sintomi,prelievo/diagnosi
2020-11-06,6887,
2020-11-07,6773,
2020-11-08,6822,
2020-11-09,10094,
2020-11-10,10728,
2020-11-11,10752,
2020-11-12,13115,38193
2020-11-13,13347,38970
2020-11-14,11998,28372
2020-11-15,12044,14258
2020-11-16,13925,35522
2020-11-17,11411,37928
2020-11-18,12102,36370
2020-11-19,9407,34727
2020-11-20,11016,32128
2020-11-21,8559,22505
2020-11-22,7280,10935
2020-11-23,9993,27546
2020-11-24,8277,28507
2020-11-25,8128,26513
2020-11-26,7545,25663
2020-11-27,7638,23248
2020-11-28,6784,17397
2020-11-29,4919,8059
2020-11-30,7146,21761
2020-12-01,6905,22389
2020-12-02,5819,20477
2020-12-03,4790,19112
2020-12-04,4092,19166
2020-12-05,3155,14136
2020-12-06,2254,5617
2020-12-07,1998,14857
2020-12-08,923,5207
2020-12-09,816,9796
2020-12-10,284,2936
2020-12-11,31,54
