data,inizio sintomi,prelievo/diagnosi
2023-01-19,10,
2023-01-20,15,
2023-01-21,32,
2023-01-22,61,
2023-01-23,141,
2023-01-24,332,
2023-01-25,628,
2023-01-26,1356,4837
2023-01-27,1301,4669
2023-01-28,1139,3484
2023-01-29,1110,1842
2023-01-30,1832,7634
2023-01-31,1367,5132
2023-02-01,1486,5057
2023-02-02,1325,4566
2023-02-03,1389,4442
2023-02-04,1224,3434
2023-02-05,1115,1735
2023-02-06,1786,7388
2023-02-07,1249,4517
2023-02-08,1197,4331
2023-02-09,1091,3945
2023-02-10,953,3776
2023-02-11,952,2906
2023-02-12,892,1568
2023-02-13,1576,6736
2023-02-14,1249,4599
2023-02-15,1199,4581
2023-02-16,1067,4293
2023-02-17,1023,4110
2023-02-18,887,3056
2023-02-19,826,1567
2023-02-20,1070,6293
2023-02-21,486,3894
2023-02-22,221,2944
2023-02-23,75,159
