data,inizio sintomi,prelievo/diagnosi
2021-12-27,8554,
2021-12-28,10614,
2021-12-29,11791,
2021-12-30,14534,
2021-12-31,18358,
2022-01-01,36459,
2022-01-02,41722,64451
2022-01-03,59831,210061
2022-01-04,49427,200303
2022-01-05,43944,201276
2022-01-06,36729,69040
2022-01-07,39049,221746
2022-01-08,35925,147266
2022-01-09,36259,68705
2022-01-10,46453,229011
2022-01-11,40428,187818
2022-01-12,37700,171017
2022-01-13,34854,159133
2022-01-14,30773,162994
2022-01-15,28681,130991
2022-01-16,28175,57858
2022-01-17,37369,210250
2022-01-18,33387,171315
2022-01-19,30905,166336
2022-01-20,27092,152206
2022-01-21,23508,151162
2022-01-22,21618,119567
2022-01-23,19878,52859
2022-01-24,26774,149932
2022-01-25,21150,110725
2022-01-26,18498,104911
2022-01-27,12938,87734
2022-01-28,7493,77502
2022-01-29,4794,49559
2022-01-30,1377,10786
2022-01-31,79,1579
