data,regione,classe_incidenza
20-02-17,Piemonte,0.01-1
20-02-24,Piemonte,0.01-1
20-03-02,Piemonte,0.01-1
20-05-11,Piemonte,0.01-1
20-05-18,Piemonte,0.01-1
20-05-25,Piemonte,0.01-1
20-06-01,Piemonte,0.01-1
20-06-08,Piemonte,0.01-1
20-06-15,Piemonte,0.01-1
20-06-22,Piemonte,0.01-1
20-06-29,Piemonte,0.01-1
20-07-06,Piemonte,0.01-1
20-07-13,Piemonte,0.01-1
20-07-20,Piemonte,0.01-1
20-07-27,Piemonte,0.01-1
20-08-03,Piemonte,0.01-1
20-08-10,Piemonte,0.01-1
20-08-17,Piemonte,0.01-1
20-08-24,Piemonte,0.01-1
20-08-31,Piemonte,0.01-1
20-09-07,Piemonte,0.01-1
20-09-14,Piemonte,0.01-1
20-09-21,Piemonte,0.01-1
21-04-26,Piemonte,0.01-1
20-02-17,Valle Aosta,0.01-1
20-03-02,Valle Aosta,0.01-1
20-04-20,Valle Aosta,0.01-1
20-04-27,Valle Aosta,0.01-1
20-05-04,Valle Aosta,0.01-1
20-05-11,Valle Aosta,0.01-1
20-05-18,Valle Aosta,0.01-1
20-05-25,Valle Aosta,0.01-1
20-06-01,Valle Aosta,0.01-1
20-06-08,Valle Aosta,0.01-1
20-06-15,Valle Aosta,0.01-1
20-06-22,Valle Aosta,0.01-1
20-06-29,Valle Aosta,0.01-1
20-07-13,Valle Aosta,0.01-1
20-07-27,Valle Aosta,0.01-1
20-08-03,Valle Aosta,0.01-1
20-08-10,Valle Aosta,0.01-1
20-08-17,Valle Aosta,0.01-1
20-08-24,Valle Aosta,0.01-1
20-08-31,Valle Aosta,0.01-1
20-09-07,Valle Aosta,0.01-1
20-09-14,Valle Aosta,0.01-1
20-09-21,Valle Aosta,0.01-1
20-02-17,Lombardia,0.01-1
20-02-24,Lombardia,0.01-1
20-05-11,Lombardia,0.01-1
20-05-18,Lombardia,0.01-1
20-05-25,Lombardia,0.01-1
20-06-01,Lombardia,0.01-1
20-06-08,Lombardia,0.01-1
20-06-15,Lombardia,0.01-1
20-06-22,Lombardia,0.01-1
20-06-29,Lombardia,0.01-1
20-07-06,Lombardia,0.01-1
20-07-13,Lombardia,0.01-1
20-07-20,Lombardia,0.01-1
20-07-27,Lombardia,0.01-1
20-08-03,Lombardia,0.01-1
20-08-10,Lombardia,0.01-1
20-08-17,Lombardia,0.01-1
20-08-24,Lombardia,0.01-1
20-08-31,Lombardia,0.01-1
20-09-07,Lombardia,0.01-1
20-09-14,Lombardia,0.01-1
20-09-21,Lombardia,0.01-1
20-09-28,Lombardia,0.01-1
20-02-24,PA Bolzano,0.01-1
20-03-02,PA Bolzano,0.01-1
20-04-20,PA Bolzano,0.01-1
20-04-27,PA Bolzano,0.01-1
20-05-04,PA Bolzano,0.01-1
20-05-11,PA Bolzano,0.01-1
20-05-18,PA Bolzano,0.01-1
20-05-25,PA Bolzano,0.01-1
20-06-01,PA Bolzano,0.01-1
20-06-08,PA Bolzano,0.01-1
20-06-15,PA Bolzano,0.01-1
20-06-22,PA Bolzano,0.01-1
20-06-29,PA Bolzano,0.01-1
