Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,280,1382,10,181,0,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Basilicata,83,368,3,79,14,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Calabria,322,971,12,177,0,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Campania,642,3896,22,573,0,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Emilia-Romagna,1695,9001,43,889,0,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Friuli Venezia Giulia,291,1277,7,175,0,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Lazio,1111,6421,64,943,243,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Liguria,462,1634,8,218,12,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Lombardia,1448,10457,53,1810,0,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Marche,211,983,4,230,50,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Molise,20,176,1,39,26,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
P.A. Bolzano,77,500,2,100,20,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
P.A. Trento,71,517,2,90,0,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Piemonte,557,6794,11,628,99,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Puglia,506,2751,17,405,0,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Sardegna,175,1602,15,204,16,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Sicilia,916,3611,53,793,0,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Toscana,680,5033,27,570,13,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Umbria,269,662,7,86,41,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Valle d'Aosta,32,103,0,13,21,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Veneto,754,6000,21,1000,0,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
Italia,10602,64139,382,9203,555,Dati della Protezione Civile del 30 Luglio 2022 ore 23:45
