Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,355,407.946,18.172,1.419,183,1%,179,14,-270%,4,031,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Basilicata,124,138.394,17.787,3.263,45,0%,45,8,-1000%,0,000,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Calabria,426,392.562,34.123,1.834,164,0%,160,9,-120%,4,021,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Campania,1.561,1.719.801,124.223,2.209,333,0%,318,6,-280%,15,027,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Emilia-Romagna,1.627,1.493.531,16.641,375,728,4%,698,16,290%,30,068,710%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Friuli Venezia Giulia,227,380.290,19.116,1.591,84,0%,82,7,120%,2,017,10000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Lazio,2.028,1.588.902,117.804,2.056,566,0%,535,9,-040%,31,054,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Liguria,366,451.648,4.762,314,141,3%,134,9,230%,7,046,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Lombardia,1.856,2.903.177,97.308,975,510,1%,476,5,-420%,34,034,-290%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Marche,332,475.329,3.524,235,69,2%,67,4,-150%,2,013,10000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Molise,87,66.303,3.559,1.209,11,0%,9,3,1250%,2,068,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
P.A. Bolzano,111,218.932,1.377,257,34,2%,33,6,000%,1,019,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
P.A. Trento,99,168.237,1.182,218,24,2%,23,4,-420%,1,018,-5000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Piemonte,700,1.202.089,24.969,584,261,1%,253,6,-040%,8,019,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Puglia,862,1.138.662,25.401,646,261,1%,246,6,-350%,15,038,-630%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Sardegna,452,315.493,12.529,788,125,1%,115,7,-090%,10,063,2500%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Sicilia,1.552,1.203.427,59.944,1.240,538,1%,511,11,040%,27,056,-360%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Toscana,782,1.155.620,25.277,684,232,1%,217,6,190%,15,041,-1180%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Umbria,335,288.217,6.766,782,98,1%,96,11,-200%,2,023,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Valle d'Aosta,20,36.721,863,695,5,1%,5,4,-2860%,0,000,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Veneto,1.180,1.760.692,26.100,536,217,1%,209,4,-050%,8,016,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
Italia,15.082,17.505.973,641.427,1.083,4.629,1%,4.411,7,-070%,218,037,000%,Dati della Protezione Civile del 05 Giugno 2022 ore 23:45
