Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,310,63541,10487,803,700,7%,621,48,-2.2%,79,6.05,-3.7%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Basilicata,106,18724,4552,817,171,4%,156,28,5.4%,15,2.69,7.1%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Calabria,475,44824,9411,489,365,4%,331,17,1.5%,34,1.77,3%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Campania,2068,326280,97240,1681,1760,2%,1576,27,-0.7%,184,3.18,2.8%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Emilia-Romagna,2070,324394,71835,1608,3959,6%,3557,80,-1.6%,402,9,1.3%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Friuli Venezia Giulia,842,94212,15968,1318,723,5%,645,53,1.7%,78,6.44,-2.5%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Lazio,2055,274984,49061,836,3118,6%,2763,47,1.4%,355,6.05,1.4%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Liguria,494,86707,6155,399,654,11%,589,38,-1.3%,65,4.21,3.2%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Lombardia,5046,712996,102078,1010,7977,8%,7132,71,-0.6%,845,8.36,0%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Marche,621,85096,10176,670,961,9%,804,53,0.1%,157,10.34,0.6%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Molise,21,12075,1058,350,103,10%,87,29,-2.2%,16,5.29,-5.9%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
P.A. Bolzano,137,68303,909,171,137,15%,106,20,-7.8%,31,5.83,0%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
P.A. Trento,177,40149,3342,616,248,7%,203,37,-2.4%,45,8.29,-4.3%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Piemonte,2582,297321,35292,813,4034,11%,3677,85,1.9%,357,8.22,0.8%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Puglia,2033,182779,44177,1102,1993,5%,1762,44,0.1%,231,5.76,1.8%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Sardegna,211,43941,13360,819,200,1%,173,11,0%,27,1.66,3.8%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Sicilia,895,168916,15994,322,931,6%,813,16,0.1%,118,2.38,-0.8%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Toscana,1518,187273,26762,719,1727,6%,1470,39,-1.2%,257,6.9,1.6%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Umbria,113,49807,5167,587,438,8%,375,43,-1.8%,63,7.16,-4.5%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Valle d'Aosta,61,8816,649,517,33,5%,28,22,3.7%,5,3.98,66.7%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Veneto,1861,373405,39183,798,1812,5%,1556,32,1.8%,256,5.22,4.1%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Italia,23696,3464543,562856,934,32044,6%,28424,47,0%,3620,6.01,0.9%,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
