Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,48,1324,5,177,23,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Basilicata,26,364,0,88,13,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Calabria,101,966,11,174,3,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Campania,177,3511,18,555,189,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Emilia-Romagna,338,7920,42,889,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Friuli Venezia Giulia,47,1277,9,175,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Lazio,344,6421,48,943,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Liguria,44,1690,6,217,12,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Lombardia,333,6369,56,1530,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Marche,44,971,12,212,61,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Molise,2,176,1,39,26,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
P.A. Bolzano,23,500,6,100,20,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
P.A. Trento,16,517,3,90,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Piemonte,183,5824,19,628,99,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Puglia,135,2745,20,482,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Sardegna,76,1602,12,204,16,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Sicilia,340,3743,39,892,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Toscana,207,5033,25,570,37,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Umbria,39,662,5,84,43,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Valle d'Aosta,1,83,0,33,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Veneto,141,6000,33,1000,0,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
Italia,2665,57698,370,9082,542,Dati della Protezione Civile del 12 Ottobre 2021 ore 20:09
