Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,434,405.037,21.942,1.713,215,1%,205,16,-240%,10,078,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Basilicata,121,137.362,22.718,4.167,74,0%,73,13,3270%,1,018,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Calabria,589,388.468,39.686,2.133,161,0%,157,8,-130%,4,021,-3330%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Campania,1.875,1.707.640,129.935,2.310,409,0%,387,7,-650%,22,039,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Emilia-Romagna,1.228,1.485.118,21.907,494,878,4%,849,19,-010%,29,065,1150%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Friuli Venezia Giulia,182,378.536,19.745,1.643,98,0%,96,8,000%,2,017,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Lazio,1.965,1.573.417,122.915,2.145,610,0%,575,10,-320%,35,061,-540%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Liguria,321,449.028,6.544,431,156,2%,147,10,-130%,9,059,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Lombardia,1.767,2.888.891,105.749,1.059,643,1%,608,6,-930%,35,035,610%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Marche,365,472.683,3.786,253,76,2%,72,5,-650%,4,027,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Molise,89,65.841,3.981,1.353,14,0%,11,4,-1540%,3,102,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
P.A. Bolzano,79,217.936,1.635,306,35,2%,33,6,000%,2,037,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
P.A. Trento,83,167.532,1.508,278,36,2%,33,6,000%,3,055,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Piemonte,656,1.196.437,27.085,634,333,1%,316,7,-060%,17,040,630%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Puglia,956,1.131.100,27.008,687,314,1%,302,8,-190%,12,031,910%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Sardegna,437,311.067,16.351,1.028,178,1%,167,11,120%,11,069,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Sicilia,1.371,1.189.207,73.173,1.514,550,1%,528,11,130%,22,046,1580%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Toscana,793,1.149.359,29.167,790,322,1%,302,8,000%,20,054,1760%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Umbria,476,285.892,7.338,848,104,1%,101,12,000%,3,035,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Valle d'Aosta,10,36.556,1.002,807,12,1%,11,9,3750%,1,081,000%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Veneto,1.029,1.751.770,28.873,593,276,1%,261,5,-400%,15,031,710%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
Italia,14.826,17.388.877,712.048,1.202,5.494,1%,5.234,9,-210%,260,044,400%,Dati della Protezione Civile del 29 Maggio 2022 ore 23:45
