Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.136,362.539,53.282,4.159,331,1%,317,25,-060%,14,109,770%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Basilicata,599,123.502,28.655,5.257,89,0%,86,16,750%,3,055,000%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Calabria,2.119,347.234,85.912,4.617,303,0%,284,15,040%,19,102,1180%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Campania,7.404,1.566.189,170.702,3.035,753,0%,717,13,110%,36,064,-270%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Emilia-Romagna,5.190,1.386.761,59.325,1.336,1.458,2%,1.422,32,000%,36,081,-270%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Friuli Venezia Giulia,652,358.052,24.286,2.021,163,1%,156,13,130%,7,058,1670%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Lazio,5.985,1.451.389,158.851,2.772,1.195,1%,1.125,20,-160%,70,122,290%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Liguria,1.172,419.513,17.336,1.142,332,2%,316,21,710%,16,105,670%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Lombardia,5.972,2.723.970,160.076,1.604,1.197,1%,1.158,12,-170%,39,039,540%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Marche,1.829,434.734,7.180,479,182,3%,176,12,-170%,6,040,-1430%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Molise,475,57.768,8.745,2.972,36,0%,36,12,590%,0,000,000%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
P.A. Bolzano,247,208.814,4.170,780,35,1%,33,6,000%,2,037,10000%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
P.A. Trento,350,158.953,3.855,711,66,2%,63,12,000%,3,055,000%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Piemonte,2.769,1.125.530,63.089,1.476,820,1%,799,19,100%,21,049,-450%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Puglia,4.596,1.040.836,104.638,2.660,616,1%,582,15,090%,34,086,000%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Sardegna,1.284,270.265,30.848,1.940,325,1%,309,19,030%,16,101,-590%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Sicilia,4.014,1.088.091,120.548,2.494,866,1%,817,17,-120%,49,101,000%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Toscana,3.403,1.078.868,53.981,1.462,681,1%,660,18,-080%,21,057,1050%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Umbria,1.103,262.399,12.547,1.450,229,2%,221,26,-260%,8,092,000%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Valle d'Aosta,73,34.598,1.436,1.157,21,1%,20,16,000%,1,081,000%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Veneto,4.891,1.636.052,74.687,1.534,613,1%,598,12,-150%,15,031,-630%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
Italia,56.263,16.136.057,1.244.149,2.100,10.311,1%,9.895,17,-020%,416,070,170%,Dati della Protezione Civile del 24 Aprile 2022 ore 23:45
