Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.200,568.379,17.012,1.328,156,1%,155,12,-250%,1,008,000%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Basilicata,173,185.422,5.214,956,26,0%,26,5,830%,0,000,000%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Calabria,861,564.738,14.292,768,137,1%,132,7,-290%,5,027,-1670%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Campania,2.325,2.248.644,45.459,808,270,1%,259,5,-230%,11,020,-830%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Emilia-Romagna,4.005,1.892.394,37.949,855,861,2%,842,19,270%,19,043,560%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,1.471,503.033,13.382,1.114,227,2%,218,18,280%,9,075,1250%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Lazio,3.475,2.098.248,50.594,883,524,1%,491,9,100%,33,058,1000%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Liguria,1.130,584.023,8.777,578,158,2%,152,10,560%,6,040,-1430%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Lombardia,8.671,3.633.514,78.040,782,901,1%,888,9,420%,13,013,000%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Marche,1.134,632.295,8.305,554,80,1%,79,5,000%,1,007,000%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Molise,107,91.316,4.069,1.383,10,0%,10,3,-1670%,0,000,000%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
P.A. Bolzano,754,269.958,5.954,1.113,113,2%,108,20,-1220%,5,093,6670%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
P.A. Trento,726,219.190,5.322,982,79,1%,75,14,-380%,4,074,-2000%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Piemonte,4.874,1.513.460,54.046,1.264,645,1%,628,15,850%,17,040,-1050%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Puglia,1.408,1.489.029,12.862,327,137,1%,132,3,-150%,5,013,-2860%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Sardegna,497,454.137,5.878,370,84,1%,79,5,2150%,5,031,-1670%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Sicilia,1.221,1.659.778,12.230,253,222,2%,208,4,560%,14,029,-670%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Toscana,2.547,1.423.696,44.937,1.217,335,1%,322,9,290%,13,035,000%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Umbria,963,384.811,7.870,909,150,2%,145,17,-140%,5,058,-2860%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Valle d'Aosta,101,45.524,1.274,1.027,18,1%,18,15,590%,0,000,000%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Veneto,6.073,2.319.704,64.031,1.315,550,1%,522,11,-280%,28,057,000%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
Italia,43.716,22.781.293,497.497,840,5.683,1%,5.489,9,200%,194,033,-200%,Dati della Protezione Civile del 08 Ottobre 2022 ore 23:45
