Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,124,82.282,1.468,113,57,4%,51,4,1090%,6,046,2000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Basilicata,10,30.615,835,151,23,3%,23,4,000%,0,000,000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Calabria,152,86.344,2.845,150,83,3%,75,4,-260%,8,042,000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Campania,448,462.967,6.786,119,196,3%,176,3,-540%,20,035,-480%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Emilia-Romagna,333,429.421,10.493,235,308,3%,278,6,-310%,30,067,000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Friuli Venezia Giulia,150,115.549,1.173,97,58,5%,50,4,000%,8,066,1430%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Lazio,423,391.118,8.835,154,372,4%,322,6,320%,50,087,200%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Liguria,69,114.170,913,60,68,7%,55,4,000%,13,085,830%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Lombardia,390,890.932,8.283,83,330,4%,281,3,260%,49,049,-390%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Marche,78,115.402,1.993,132,56,3%,45,3,000%,11,073,1000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Molise,4,14.608,97,32,6,6%,5,2,2500%,1,033,000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
P.A. Bolzano,90,78.188,889,167,44,5%,38,7,860%,6,113,000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
P.A. Trento,45,49.012,339,62,6,2%,4,1,-4290%,2,037,000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Piemonte,246,383.208,3.757,87,197,5%,179,4,170%,18,042,-530%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Puglia,203,271.329,2.219,56,145,7%,129,3,160%,16,040,000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Sardegna,23,75.965,1.392,86,60,4%,53,3,-860%,7,043,-3000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Sicilia,291,305.283,6.541,134,310,5%,268,5,150%,42,086,-450%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Toscana,285,287.231,5.078,138,241,5%,220,6,330%,21,057,-450%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Umbria,79,64.688,837,96,39,5%,34,4,-560%,5,057,2500%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Valle d'Aosta,8,12.273,97,78,6,6%,6,5,10000%,0,000,000%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Veneto,457,476.877,9.146,187,188,2%,163,3,-120%,25,051,-380%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Italia,3.908,4.737.462,74.016,124,2.793,4%,2.455,4,050%,338,057,-150%,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
