Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,1.085,265.841,62.951,4.914,348,1%,335,26,-800%,13,101,-1880%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Basilicata,399,84.226,19.440,3.566,96,0%,93,17,000%,3,055,000%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Calabria,1.566,219.372,46.164,2.481,294,1%,277,15,-250%,17,091,000%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Campania,3.650,1.213.879,126.870,2.256,715,1%,673,12,-950%,42,075,-670%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Emilia-Romagna,2.421,1.190.085,31.991,721,1.339,4%,1.276,29,-560%,63,142,-310%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Friuli Venezia Giulia,585,309.461,18.059,1.503,207,1%,191,16,-350%,16,133,670%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Lazio,2.312,1.081.535,126.338,2.205,1.395,1%,1.287,22,-420%,108,188,-690%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Liguria,985,347.194,13.479,888,320,2%,303,20,-1220%,17,112,000%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Lombardia,4.713,2.343.019,116.382,1.166,1.078,1%,980,10,-270%,98,098,100%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Marche,1.092,330.071,17.706,1.182,196,1%,176,12,-1110%,20,133,-1300%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Molise,320,39.546,6.114,2.078,31,1%,28,10,370%,3,102,5000%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
P.A. Bolzano,377,189.018,4.850,907,72,1%,71,13,-140%,1,019,000%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
P.A. Trento,244,139.588,3.148,581,50,2%,45,8,000%,5,092,2500%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Piemonte,1.961,981.976,43.840,1.026,880,2%,840,20,-860%,40,094,000%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Puglia,3.302,741.847,75.557,1.921,614,1%,581,15,-200%,33,084,-830%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Sardegna,1.172,178.339,27.747,1.745,354,1%,325,20,620%,29,182,1150%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Sicilia,3.450,796.535,232.282,4.805,1.071,0%,1.006,21,-320%,65,134,-970%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Toscana,2.413,861.355,27.110,734,826,3%,771,21,-270%,55,149,190%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Umbria,908,186.041,9.108,1.052,148,2%,143,17,-470%,5,058,-1670%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Valle d'Aosta,40,31.502,1.297,1.045,21,2%,18,15,-1000%,3,242,000%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Veneto,3.434,1.337.488,51.177,1.051,580,1%,535,11,-510%,45,092,-1000%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
Italia,36.429,12.867.918,1.061.610,1.792,10.635,1%,9.954,17,-480%,681,115,-380%,Dati della Protezione Civile del 02 Marzo 2022 ore 19:10
