Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.672,486.176,50.914,3.975,281,1%,273,21,-420%,8,062,-2000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Basilicata,847,165.004,16.107,2.955,109,1%,109,20,280%,0,000,000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Calabria,3.020,474.476,72.904,3.918,333,0%,315,17,-250%,18,097,-530%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Campania,8.239,2.052.673,181.370,3.225,756,0%,720,13,-110%,36,064,910%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Emilia-Romagna,6.487,1.713.109,82.615,1.861,1.778,2%,1.736,39,130%,42,095,-230%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Friuli Venezia Giulia,1.983,438.954,23.742,1.976,297,1%,289,24,000%,8,067,3330%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Lazio,6.833,1.905.410,229.822,4.011,1.147,0%,1.078,19,040%,69,120,-280%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Liguria,2.048,519.165,23.491,1.547,452,2%,438,29,330%,14,092,1670%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Lombardia,10.846,3.297.973,159.564,1.599,1.581,1%,1.540,15,-210%,41,041,510%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Marche,2.672,554.711,21.527,1.437,202,1%,195,13,-670%,7,047,000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Molise,358,79.338,5.156,1.752,20,0%,19,6,560%,1,034,-5000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
P.A. Bolzano,734,242.065,8.048,1.505,102,1%,99,19,-200%,3,056,000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
P.A. Trento,703,189.214,8.214,1.515,91,1%,88,16,-640%,3,055,000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Piemonte,4.734,1.351.869,61.096,1.429,638,1%,622,15,050%,16,037,000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Puglia,5.993,1.356.169,79.464,2.020,500,1%,483,12,080%,17,043,000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Sardegna,2.197,402.833,40.025,2.517,179,0%,170,11,000%,9,057,000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Sicilia,5.911,1.512.116,163.777,3.388,1.019,1%,969,20,-110%,50,103,640%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Toscana,4.121,1.308.610,95.082,2.575,789,1%,763,21,-260%,26,070,-710%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Umbria,1.612,339.805,23.237,2.685,287,1%,281,32,-040%,6,069,-1430%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Valle d'Aosta,153,40.836,1.941,1.564,32,2%,30,24,-630%,2,161,10000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Veneto,8.490,2.036.843,107.725,2.212,801,1%,767,16,170%,34,070,-810%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
Italia,80.653,20.467.349,1.455.821,2.458,11.394,1%,10.984,19,-050%,410,069,000%,Dati della Protezione Civile del 21 Luglio 2022 ore 19:24
