Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,286,1382,17,181,14,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Basilicata,109,379,3,79,14,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Calabria,379,1073,24,198,0,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Campania,703,4149,34,610,0,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Emilia-Romagna,1114,9001,36,889,0,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Friuli Venezia Giulia,130,1277,9,175,0,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Lazio,1199,6421,81,943,243,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Liguria,265,1641,6,219,12,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Lombardia,1036,10457,43,1810,0,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Marche,242,1020,12,256,49,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Molise,33,176,0,39,26,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
P.A. Bolzano,69,500,3,100,20,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
P.A. Trento,54,517,2,90,0,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Piemonte,614,6794,24,628,99,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Puglia,671,2923,36,503,0,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Sardegna,331,1602,22,204,16,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Sicilia,990,3794,56,852,0,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Toscana,856,5033,35,570,14,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Umbria,224,662,3,86,41,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Valle d'Aosta,19,163,0,34,0,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Veneto,547,6000,35,1000,0,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
Italia,9871,64964,481,9466,548,Dati della Protezione Civile del 30 Marzo 2022 ore 19:21
