Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,343,42059,10068,771,429,4%,389,30,-2.5&,40,3.06,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Basilicata,45,13132,6136,1102,75,1%,71,13,-4.1&,4,0.72,100%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Calabria,253,32329,9029,469,294,3%,274,14,0.4&,20,1.04,-4.8%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Campania,1175,219418,61642,1065,1520,2%,1425,25,-3.3&,95,1.64,-3.1%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Emilia-Romagna,1320,216065,47345,1060,2381,5%,2172,49,-3.1&,209,4.68,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Friuli Venezia Giulia,557,66723,11371,939,664,6%,605,50,-2.3&,59,4.87,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Lazio,1160,203367,64237,1095,2727,4%,2438,42,-0.8&,289,4.93,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Liguria,338,69106,4305,279,655,15%,591,38,0.5&,64,4.15,-4.5%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Lombardia,1900,534784,49514,490,3869,8%,3490,35,-1.3&,379,3.75,2.2%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Marche,371,54660,9007,593,613,7%,540,36,-2&,73,4.81,4.3%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Molise,79,8178,1071,354,61,6%,53,18,10.4&,8,2.65,-11.1%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
P.A. Bolzano,590,39060,14862,2793,249,2%,219,41,1.4&,30,5.64,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
P.A. Trento,307,27162,2371,437,221,9%,187,34,-2.1&,34,6.26,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Piemonte,944,221832,12537,289,2313,18%,2163,50,-1.4&,150,3.46,-0.7%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Puglia,1069,120967,52278,1304,1569,3%,1401,35,0.5&,168,4.19,-2.9%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Sardegna,257,38141,16087,987,493,3%,453,28,-2.6&,40,2.45,-7%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Sicilia,944,134541,44267,891,1584,4%,1373,28,-2.3&,211,4.25,-1.9%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Toscana,594,133343,9002,242,759,8%,659,18,-1.9&,100,2.69,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Umbria,335,35529,5477,622,402,7%,349,40,3.3&,53,6.02,-1.9%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Valle d'Aosta,8,7780,253,202,40,16%,36,29,-12.2&,4,3.19,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Veneto,985,310894,36965,753,1749,5%,1509,31,-5.6&,240,4.89,-3.6%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Italia,13574,2529070,467824,777,22667,5%,20397,34,-1.8&,2270,3.77,-0.8%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
