Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.572,515.338,43.159,3.369,289,1%,279,22,370%,10,078,000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Basilicata,296,172.368,12.097,2.219,73,1%,70,13,-140%,3,055,000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Calabria,1.624,505.054,73.531,3.952,290,0%,278,15,-410%,12,064,910%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Campania,3.323,2.127.804,138.060,2.455,566,0%,543,10,-520%,23,041,000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Emilia-Romagna,3.224,1.775.610,49.264,1.110,1.548,3%,1.505,34,-460%,43,097,-1570%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Friuli Venezia Giulia,934,458.911,18.600,1.548,262,1%,259,22,-440%,3,025,-2500%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Lazio,3.221,1.970.186,193.339,3.374,1.030,1%,975,17,-520%,55,096,-520%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Liguria,1.210,541.615,16.734,1.102,401,2%,396,26,-480%,5,033,000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Lombardia,4.692,3.397.420,98.551,987,1.246,1%,1.210,12,-650%,36,036,000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Marche,1.325,582.762,16.858,1.125,206,1%,200,13,360%,6,040,000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Molise,209,83.292,5.367,1.824,21,0%,20,7,000%,1,034,-5000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
P.A. Bolzano,385,249.043,4.339,811,65,1%,65,12,480%,0,000,000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
P.A. Trento,397,196.365,5.128,946,69,1%,65,12,-710%,4,074,3330%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Piemonte,2.175,1.395.353,44.265,1.035,517,1%,504,12,-400%,13,030,000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Puglia,2.729,1.413.474,48.874,1.242,451,1%,433,11,-110%,18,046,590%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Sardegna,963,423.125,26.829,1.687,179,1%,168,11,-060%,11,069,-2670%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Sicilia,2.825,1.573.793,165.320,3.420,877,1%,830,17,-190%,47,097,440%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Toscana,1.808,1.348.767,89.290,2.418,647,1%,627,17,-230%,20,054,-910%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Umbria,743,354.814,17.577,2.031,240,1%,236,27,000%,4,046,-2000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Valle d'Aosta,94,42.378,1.220,983,20,2%,20,16,-2000%,0,000,-10000%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Veneto,4.470,2.124.302,78.777,1.618,751,1%,714,15,-040%,37,076,1560%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
Italia,38.219,21.251.774,1.147.179,1.937,9.748,1%,9.397,16,-350%,351,059,-300%,Dati della Protezione Civile del 05 Agosto 2022 ore 23:45
