Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,246,54910,13055,1000,719,6%,634,49,0.2%,85,6.51,4.9%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Basilicata,147,15857,4184,751,101,2%,92,17,5.7%,9,1.62,0%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Calabria,102,38133,6265,326,215,3%,195,10,-0.5%,20,1.04,5.3%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Campania,2046,271561,79285,1370,1493,2%,1360,24,1.7%,133,2.3,-5%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Emilia-Romagna,2040,265214,45847,1026,2715,6%,2476,55,4.3%,239,5.35,1.3%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Friuli Venezia Giulia,479,77463,10206,843,441,4%,380,31,1.9%,61,5.04,-1.6%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Lazio,1188,236460,35795,610,2057,6%,1831,31,-0.5%,226,3.85,1.3%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Liguria,337,78624,5427,352,570,11%,520,34,0.6%,50,3.24,-7.4%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Lombardia,3762,608978,67690,670,4884,7%,4408,44,4.4%,476,4.71,7.9%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Marche,415,68718,9772,644,648,7%,570,38,-0.9%,78,5.14,5.4%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Molise,18,10750,1684,557,113,7%,94,31,-4.1%,19,6.29,0%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
P.A. Bolzano,236,54161,6892,1295,239,3%,208,39,-4.6%,31,5.83,0%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
P.A. Trento,220,34335,3668,676,233,6%,191,35,0.5%,42,7.74,0%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Piemonte,1609,249898,17333,399,2319,13%,2139,49,4.7%,180,4.15,2.9%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Puglia,1021,148702,33111,826,1432,4%,1269,32,1.1%,163,4.07,-2.4%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Sardegna,70,41306,12739,781,226,2%,206,13,-1.9%,20,1.23,5.3%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Sicilia,566,153602,25729,518,849,3%,726,15,0%,123,2.48,-6.8%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Toscana,1058,158170,18828,506,1163,6%,989,27,4.1%,174,4.67,1.2%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Umbria,289,45051,8099,920,524,6%,446,51,0.2%,78,8.86,-1.3%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Valle d'Aosta,6,8063,163,130,15,9%,13,10,-7.1%,2,1.59,0%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Veneto,1228,335478,25224,514,941,4%,823,17,2.1%,118,2.4,5.4%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
Italia,17083,2955434,430996,715,21897,5%,19570,32,2.4%,2327,3.86,1.7%,Dati della Protezione Civile del 02 Marzo 2021 ore 19:26
