Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,618,553.180,27.406,2.139,114,0%,112,9,-890%,2,016,10000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Basilicata,117,182.631,5.039,924,19,0%,18,3,2860%,1,018,000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Calabria,571,552.945,37.879,2.036,121,0%,115,6,-250%,6,032,2000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Campania,1.636,2.218.336,39.771,707,228,1%,219,4,-390%,9,016,000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Emilia-Romagna,1.526,1.850.155,16.277,367,605,4%,585,13,-050%,20,045,-1300%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Friuli Venezia Giulia,639,486.472,5.501,458,98,2%,95,8,670%,3,025,-2500%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Lazio,2.039,2.054.266,38.678,675,355,1%,329,6,-630%,26,045,-370%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Liguria,522,570.795,4.993,329,117,2%,114,8,-340%,3,020,000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Lombardia,3.661,3.536.238,37.109,372,493,1%,485,5,360%,8,008,-1110%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Marche,565,616.264,3.391,226,53,2%,50,3,640%,3,020,000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Molise,102,89.534,3.567,1.212,9,0%,8,3,3330%,1,034,000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
P.A. Bolzano,331,260.703,2.664,498,53,2%,52,10,200%,1,019,-5000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
P.A. Trento,377,210.191,2.527,466,42,2%,41,8,510%,1,018,000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Piemonte,1.466,1.459.451,33.503,784,249,1%,243,6,-080%,6,014,000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Puglia,805,1.471.377,9.083,231,106,1%,98,2,-100%,8,020,-1110%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Sardegna,375,446.874,3.983,250,59,1%,51,3,-1210%,8,050,3330%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Sicilia,942,1.642.506,22.061,456,208,1%,194,4,-440%,14,029,770%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Toscana,1.107,1.395.322,81.844,2.216,161,0%,157,4,400%,4,011,-2000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Umbria,491,373.224,3.605,417,104,3%,104,12,-100%,0,000,000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Valle d'Aosta,35,44.274,587,473,5,1%,5,4,-4440%,0,000,000%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Veneto,3.160,2.247.714,37.298,766,248,1%,238,5,-080%,10,021,-910%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
Italia,21.085,22.262.452,416.766,704,3.447,1%,3.313,6,-110%,134,023,-290%,Dati della Protezione Civile del 23 Settembre 2022 ore 23:45
