Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,192,71.916,8.161,625,365,4%,335,26,-400%,30,230,1540%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Basilicata,175,24.505,6.275,1.127,168,3%,160,29,-180%,8,144,-1110%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Calabria,284,61.511,13.875,721,471,3%,432,22,-160%,39,203,-250%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Campania,1.447,398.831,88.036,1.522,1.581,2%,1.459,25,-140%,122,211,-470%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Emilia-Romagna,561,372.817,39.082,875,1.759,5%,1.546,35,-460%,213,477,000%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Friuli Venezia Giulia,174,105.761,6.866,567,226,3%,193,16,-810%,33,272,000%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Lazio,838,328.111,40.198,685,2.320,6%,2.055,35,-590%,265,452,-220%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Liguria,194,100.327,4.702,305,525,11%,463,30,-490%,62,402,000%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Lombardia,1.557,811.594,47.288,468,3.707,8%,3.188,32,-230%,519,514,-110%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Marche,278,98.637,5.873,387,459,8%,391,26,-370%,68,448,-140%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Molise,30,13.344,549,182,38,7%,29,10,000%,9,298,000%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
P.A. Bolzano,94,71.521,1.191,224,53,4%,46,9,-1480%,7,132,1670%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
P.A. Trento,63,44.282,936,172,84,9%,65,12,-440%,19,350,1180%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Piemonte,947,348.904,14.366,331,2.071,14%,1.896,44,-430%,175,403,-690%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Puglia,1.171,239.315,46.486,1.160,1.742,4%,1.548,39,-230%,194,484,-150%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Sardegna,166,55.146,16.247,996,384,2%,338,21,-450%,46,282,-210%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Sicilia,782,212.677,24.529,494,1.273,5%,1.121,23,-270%,152,306,-500%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Toscana,744,230.284,18.936,509,1.447,8%,1.218,33,-380%,229,615,-340%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Umbria,131,54.867,2.727,310,170,6%,146,17,-1150%,24,273,-1430%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Valle d'Aosta,12,11.078,630,502,46,7%,37,29,-1190%,9,717,000%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Veneto,745,414.972,20.176,411,999,5%,854,17,-270%,145,295,-270%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
Italia,10.585,4.070.400,407.129,676,19.888,5%,17.520,29,-360%,2.368,393,-230%,Dati della Protezione Civile del 05 Maggio 2021 ore 19:07
