Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,562,548.953,27.711,2.163,113,0%,110,9,-090%,3,023,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Basilicata,135,181.639,6.264,1.149,25,0%,25,5,420%,0,000,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Calabria,494,549.225,39.910,2.145,138,0%,132,7,-220%,6,032,2000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Campania,1.512,2.207.347,39.077,695,260,1%,245,4,040%,15,027,-1180%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Emilia-Romagna,1.230,1.841.495,15.770,355,647,4%,626,14,-130%,21,047,500%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Friuli Venezia Giulia,523,482.761,4.717,393,118,3%,116,10,550%,2,017,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Lazio,1.487,2.041.826,40.584,708,403,1%,379,7,030%,24,042,-770%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Liguria,457,567.534,4.709,310,135,3%,132,9,230%,3,020,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Lombardia,3.110,3.514.246,32.949,330,497,2%,488,5,-370%,9,009,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Marche,472,612.655,3.413,228,56,2%,54,4,-360%,2,013,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Molise,68,88.924,3.825,1.300,10,0%,10,3,000%,0,000,-10000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
P.A. Bolzano,284,258.514,2.028,379,39,2%,36,7,2000%,3,056,5000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
P.A. Trento,292,207.842,2.000,369,47,2%,45,8,-630%,2,037,10000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Piemonte,1.332,1.448.407,31.354,733,237,1%,230,5,130%,7,016,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Puglia,730,1.466.141,10.492,267,134,1%,126,3,000%,8,020,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Sardegna,347,444.528,4.745,298,82,2%,75,5,560%,7,044,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Sicilia,791,1.636.064,37.938,785,228,1%,211,4,-580%,17,035,-1050%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Toscana,806,1.389.132,79.847,2.162,178,0%,172,5,-440%,6,016,5000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Umbria,384,370.390,2.976,344,126,4%,126,15,330%,0,000,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Valle d'Aosta,34,44.099,599,483,10,2%,10,8,-910%,0,000,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Veneto,2.314,2.230.063,34.814,715,259,1%,252,5,-120%,7,014,000%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
Italia,17.364,22.131.785,425.722,719,3.742,1%,3.600,6,-090%,142,024,-070%,Dati della Protezione Civile del 16 Settembre 2022 ore 23:45
