Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,25,1324,0,185,23,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Basilicata,15,342,0,88,13,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Calabria,51,821,5,151,25,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Campania,188,3832,12,569,87,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Emilia-Romagna,161,6538,8,760,0,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Friuli Venezia Giulia,8,1277,2,175,0,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Lazio,240,6421,34,943,193,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Liguria,38,1708,6,216,12,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Lombardia,151,6369,28,1416,114,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Marche,15,951,4,209,57,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Molise,1,176,0,39,0,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
P.A. Bolzano,10,391,0,100,0,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
P.A. Trento,7,517,0,60,15,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Piemonte,68,5824,3,628,99,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Puglia,75,2799,8,462,0,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Sardegna,64,1602,10,216,33,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Sicilia,216,2898,28,644,196,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Toscana,103,5033,16,570,37,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Umbria,11,671,2,97,30,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Valle d'Aosta,1,67,0,15,6,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Veneto,64,6000,16,1000,0,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Italia,1512,55561,182,8543,940,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
