Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,944,398.941,29.193,2.279,269,1%,257,20,-550%,12,094,910%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Basilicata,310,135.394,28.698,5.264,75,0%,74,14,-130%,1,018,-5000%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Calabria,953,381.570,57.584,3.095,200,0%,188,10,-260%,12,064,3330%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Campania,3.130,1.684.893,143.539,2.552,562,0%,528,9,-060%,34,060,-810%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Emilia-Romagna,2.703,1.468.581,35.529,800,1.106,3%,1.074,24,-290%,32,072,-590%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Friuli Venezia Giulia,567,375.450,22.350,1.860,132,1%,132,11,-640%,0,000,-10000%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Lazio,3.038,1.550.046,139.842,2.440,830,1%,784,14,130%,46,080,-610%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Liguria,775,443.996,10.726,706,201,2%,193,13,-850%,8,053,-1110%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Lombardia,3.980,2.862.295,125.912,1.261,900,1%,863,9,-560%,37,037,570%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Marche,946,466.872,4.513,301,114,3%,111,7,-180%,3,020,000%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Molise,174,64.673,6.906,2.347,22,0%,20,7,-480%,2,068,000%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
P.A. Bolzano,225,216.373,2.782,520,35,1%,35,7,-280%,0,000,000%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
P.A. Trento,206,166.163,2.516,464,45,2%,42,8,-1060%,3,055,000%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Piemonte,1.820,1.185.416,33.948,794,535,2%,515,12,-480%,20,047,530%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Puglia,1.868,1.116.827,45.581,1.159,417,1%,395,10,-620%,22,056,-1850%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Sardegna,1.189,302.809,22.751,1.431,223,1%,213,13,-530%,10,063,-910%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Sicilia,2.352,1.166.926,90.341,1.869,646,1%,616,13,-250%,30,062,000%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Toscana,1.849,1.137.293,35.538,962,401,1%,386,10,-100%,15,041,710%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Umbria,661,281.668,9.273,1.071,147,2%,146,17,-390%,1,012,000%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Valle d'Aosta,53,36.210,1.182,953,22,2%,22,18,000%,0,000,000%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Veneto,2.567,1.735.803,44.471,913,446,1%,426,9,-720%,20,041,000%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
Italia,30.310,17.178.199,893.175,1.508,7.328,1%,7.020,12,-350%,308,052,-310%,Dati della Protezione Civile del 19 Maggio 2022 ore 23:45
