Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,26,84.835,2.941,227,92,3%,79,6,680%,13,100,1820%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Basilicata,1,31.127,907,164,28,3%,27,5,380%,1,018,000%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Calabria,120,89.872,3.718,196,129,3%,117,6,450%,12,063,3330%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Campania,525,477.088,12.620,221,314,2%,293,5,030%,21,037,500%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Emilia-Romagna,651,440.176,10.871,244,460,4%,418,9,530%,42,094,500%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Friuli Venezia Giulia,379,122.752,4.996,414,181,4%,158,13,-130%,23,191,2110%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Lazio,595,405.833,12.630,219,654,5%,579,10,380%,75,130,710%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Liguria,93,117.476,2.241,147,110,5%,102,7,1210%,8,052,1430%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Lombardia,506,905.935,15.551,155,510,3%,460,5,430%,50,050,000%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Marche,99,118.788,3.271,216,93,3%,70,5,1670%,23,152,1500%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Molise,7,14.864,241,80,2,1%,1,0,-5000%,1,033,000%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
P.A. Bolzano,233,82.519,3.499,657,83,2%,74,14,1380%,9,169,1250%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
P.A. Trento,35,50.238,696,128,22,3%,19,3,560%,3,055,000%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Piemonte,240,389.857,6.089,141,303,5%,279,6,570%,24,056,000%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Puglia,132,275.948,3.821,97,183,5%,162,4,250%,21,053,500%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Sardegna,35,77.148,1.855,115,52,3%,44,3,000%,8,050,000%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Sicilia,442,315.083,9.432,193,384,4%,338,7,370%,46,094,-800%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Toscana,291,294.928,7.427,201,297,4%,264,7,230%,33,089,-570%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Umbria,19,66.311,1.523,175,43,3%,38,4,860%,5,057,000%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Valle d'Aosta,3,12.469,165,132,9,5%,9,7,2860%,0,000,000%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Veneto,712,492.013,16.381,336,334,2%,277,6,690%,57,117,000%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
Italia,5.144,4.865.260,120.875,203,4.283,4%,3.808,6,440%,475,080,370%,Dati della Protezione Civile del 15 Novembre 2021 ore 18:08
