Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.015,439.400,33.745,2.634,179,1%,174,14,880%,5,039,-1670%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Basilicata,496,148.657,9.387,1.722,67,1%,65,12,660%,2,037,10000%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Calabria,1.456,423.909,43.699,2.349,240,1%,233,13,1040%,7,038,000%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Campania,4.837,1.857.234,131.384,2.336,573,0%,540,10,530%,33,059,000%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Emilia-Romagna,4.070,1.594.815,59.068,1.331,1.158,2%,1.130,25,630%,28,063,370%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Friuli Venezia Giulia,484,406.157,15.213,1.266,175,1%,166,14,250%,9,075,2860%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Lazio,4.777,1.749.785,166.880,2.912,761,0%,699,12,400%,62,108,690%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Liguria,688,480.897,17.750,1.169,272,2%,265,17,860%,7,046,1670%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Lombardia,3.249,3.086.324,123.942,1.242,1.052,1%,1.027,10,250%,25,025,420%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Marche,1.017,506.292,12.689,847,131,1%,126,8,960%,5,033,-1670%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Molise,258,72.316,4.017,1.365,13,0%,12,4,000%,1,034,000%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
P.A. Bolzano,256,228.846,4.585,857,61,1%,59,11,1130%,2,037,10000%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
P.A. Trento,213,176.505,4.647,857,51,1%,50,9,1110%,1,018,000%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Piemonte,1.903,1.264.401,46.849,1.096,434,1%,424,10,960%,10,023,000%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Puglia,3.649,1.228.314,58.236,1.480,387,1%,373,9,940%,14,036,000%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Sardegna,933,358.468,29.596,1.861,140,0%,132,8,650%,8,050,-1110%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Sicilia,3.140,1.324.426,98.609,2.040,903,1%,868,18,410%,35,072,1290%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Toscana,1.208,1.226.325,61.557,1.667,574,1%,554,15,1010%,20,054,-480%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Umbria,619,310.658,16.391,1.894,211,1%,205,24,730%,6,069,000%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Valle d'Aosta,16,38.135,846,682,18,2%,18,15,2860%,0,000,000%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Veneto,1.998,1.883.892,80.089,1.645,551,1%,528,11,460%,23,047,450%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
Italia,36.282,18.805.756,1.019.179,1.721,7.951,1%,7.648,13,600%,303,051,410%,Dati della Protezione Civile del 04 Luglio 2022 ore 23:45
