Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,359,525.326,26.035,2.032,228,1%,219,17,-090%,9,070,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Basilicata,98,174.545,8.750,1.605,44,1%,43,8,-230%,1,018,-5000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Calabria,558,516.462,68.596,3.687,236,0%,223,12,000%,13,070,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Campania,972,2.151.314,122.268,2.174,443,0%,421,7,-430%,22,039,1000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Emilia-Romagna,1.069,1.795.912,31.558,711,1.301,4%,1.263,28,190%,38,086,560%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Friuli Venezia Giulia,214,465.616,10.559,879,236,2%,230,19,130%,6,050,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Lazio,1.017,1.991.731,149.587,2.610,865,1%,814,14,070%,51,089,-380%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Liguria,267,550.042,11.935,786,358,3%,350,23,030%,8,053,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Lombardia,947,3.427.378,57.490,576,936,2%,905,9,-100%,31,031,-310%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Marche,484,591.956,12.989,867,135,1%,130,9,080%,5,033,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Molise,111,84.905,6.185,2.102,19,0%,18,6,590%,1,034,-5000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
P.A. Bolzano,80,251.664,2.614,489,47,2%,46,9,-1150%,1,019,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
P.A. Trento,126,199.379,3.707,684,75,2%,74,14,280%,1,018,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Piemonte,426,1.409.176,35.536,831,437,1%,426,10,020%,11,026,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Puglia,626,1.431.635,37.475,953,406,1%,391,10,-080%,15,038,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Sardegna,117,429.664,18.226,1.146,139,1%,129,8,-080%,10,063,1110%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Sicilia,818,1.594.410,112.812,2.334,692,1%,660,14,-270%,32,066,320%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Toscana,341,1.360.866,84.382,2.285,451,1%,431,12,-090%,20,054,1110%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Umbria,216,359.854,7.929,916,190,2%,189,22,-260%,1,012,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Valle d'Aosta,19,42.901,904,729,11,1%,11,9,2220%,0,000,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Veneto,1.029,2.154.688,57.527,1.181,556,1%,531,11,-200%,25,051,000%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
Italia,9.894,21.509.424,867.064,1.464,7.805,1%,7.504,13,-050%,301,051,100%,Dati della Protezione Civile del 15 Agosto 2022 ore 23:45
