Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,312,1382,13,181,14,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Basilicata,94,377,1,79,14,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Calabria,272,1108,18,202,0,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Campania,648,4358,37,650,0,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Emilia-Romagna,1193,9001,66,889,0,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Friuli Venezia Giulia,164,1277,12,175,0,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Lazio,1169,6421,91,943,243,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Liguria,251,1694,16,219,12,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Lombardia,894,10457,89,1810,0,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Marche,173,1020,19,256,49,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Molise,28,176,3,39,26,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
P.A. Bolzano,62,500,1,100,20,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
P.A. Trento,46,517,4,90,0,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Piemonte,737,6794,36,628,99,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Puglia,572,2923,29,503,0,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Sardegna,327,1602,29,204,16,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Sicilia,967,3777,67,855,0,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Toscana,736,5033,47,570,8,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Umbria,142,662,5,86,41,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Valle d'Aosta,15,163,2,34,0,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Veneto,495,6000,40,1000,0,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
Italia,9297,65242,625,9513,542,Dati della Protezione Civile del 04 Marzo 2022 ore 18:51
