Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.633,357.745,50.599,3.950,332,1%,322,25,-120%,10,078,-910%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Basilicata,852,122.002,28.016,5.139,92,0%,89,16,-430%,3,055,000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Calabria,2.479,342.753,85.817,4.612,299,0%,282,15,-340%,17,091,000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Campania,8.845,1.550.624,164.336,2.922,776,0%,737,13,080%,39,069,-250%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Emilia-Romagna,5.486,1.376.564,58.597,1.320,1.466,3%,1.429,32,070%,37,083,1210%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Friuli Venezia Giulia,1.197,356.216,24.226,2.016,168,1%,160,13,060%,8,067,3330%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Lazio,7.341,1.438.333,154.180,2.691,1.216,1%,1.145,20,-260%,71,124,290%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Liguria,1.816,416.741,17.325,1.141,307,2%,293,19,-390%,14,092,-670%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Lombardia,9.195,2.709.483,158.849,1.591,1.240,1%,1.203,12,060%,37,037,-510%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Marche,2.154,430.842,8.017,535,177,2%,170,11,-340%,7,047,4000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Molise,458,56.795,8.677,2.948,32,0%,32,11,000%,0,000,-10000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
P.A. Bolzano,419,208.214,4.524,846,39,1%,38,7,-500%,1,019,000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
P.A. Trento,481,158.182,3.916,722,68,2%,65,12,000%,3,055,000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Piemonte,4.007,1.118.810,62.421,1.460,834,1%,810,19,050%,24,056,910%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Puglia,5.803,1.030.131,103.579,2.633,616,1%,581,15,-140%,35,089,-540%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Sardegna,2.182,267.106,29.971,1.885,326,1%,309,19,-490%,17,107,000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Sicilia,5.076,1.078.031,120.036,2.483,888,1%,840,17,-490%,48,099,000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Toscana,4.464,1.071.195,50.973,1.380,709,1%,690,19,-400%,19,051,-2400%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Umbria,1.324,259.822,12.547,1.450,236,2%,232,27,-650%,4,046,-2000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Valle d'Aosta,100,34.415,1.413,1.139,22,2%,22,18,480%,0,000,000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Veneto,6.900,1.624.177,75.103,1.542,644,1%,627,13,-060%,17,035,000%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
Italia,73.212,16.008.181,1.223.122,2.065,10.487,1%,10.076,17,-150%,411,069,-100%,Dati della Protezione Civile del 22 Aprile 2022 ore 18:08
