Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.478,418.437,19.670,1.536,110,1%,108,8,-440%,2,016,000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Basilicata,526,141.989,11.228,2.060,40,0%,40,7,1430%,0,000,000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Calabria,1.446,403.498,31.514,1.694,152,0%,145,8,820%,7,038,000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Campania,6.018,1.761.139,80.608,1.433,338,0%,322,6,560%,16,028,670%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Emilia-Romagna,3.455,1.528.629,28.316,638,762,3%,736,17,220%,26,059,-1330%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Friuli Venezia Giulia,1.514,389.692,8.076,672,106,1%,99,8,310%,7,058,1670%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Lazio,7.549,1.647.841,125.036,2.182,575,0%,527,9,520%,48,084,910%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Liguria,1.709,462.772,9.081,598,159,2%,155,10,470%,4,026,-2000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Lombardia,9.900,2.967.533,60.586,607,654,1%,638,6,830%,16,016,000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Marche,1.388,485.498,3.706,247,81,2%,77,5,850%,4,027,000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Molise,157,68.209,1.785,607,9,1%,7,2,1670%,2,068,000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
P.A. Bolzano,641,222.884,2.844,532,53,2%,51,10,-1050%,2,037,000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
P.A. Trento,384,171.029,2.072,382,31,1%,31,6,690%,0,000,-10000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Piemonte,3.105,1.224.222,30.776,720,251,1%,244,6,-360%,7,016,-1250%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Puglia,3.990,1.167.656,27.106,689,229,1%,219,6,050%,10,025,4290%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Sardegna,2.658,332.488,16.348,1.028,110,1%,103,6,960%,7,044,-1250%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Sicilia,5.559,1.250.074,56.666,1.172,643,1%,621,13,370%,22,046,-1540%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Toscana,3.812,1.179.884,32.070,868,285,1%,273,7,660%,12,032,2000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Umbria,862,296.016,8.956,1.035,115,1%,114,13,750%,1,012,000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Valle d'Aosta,101,37.298,538,434,12,2%,11,9,-830%,1,081,000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Veneto,6.452,1.802.541,42.948,882,294,1%,282,6,1600%,12,025,-2000%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
Italia,62.704,17.959.329,599.930,1.013,5.009,1%,4.803,8,480%,206,035,-140%,Dati della Protezione Civile del 21 Giugno 2022 ore 23:45
