Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,49,75.073,919,71,26,3%,25,2,870%,1,008,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Basilicata,15,27.020,660,119,15,2%,15,3,-630%,0,000,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Calabria,54,69.211,2.462,130,55,2%,51,3,-380%,4,021,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Campania,162,425.312,6.709,117,235,4%,215,4,-140%,20,035,1760%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Emilia-Romagna,94,387.311,2.188,49,174,8%,157,4,-190%,17,038,-560%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Friuli Venezia Giulia,19,107.051,203,17,6,3%,5,0,-1670%,1,008,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Lazio,112,346.626,2.242,39,166,7%,139,2,-350%,27,047,-690%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Liguria,16,103.527,138,9,18,13%,11,1,000%,7,046,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Lombardia,215,842.870,8.685,87,177,2%,134,1,-1070%,43,043,-230%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Marche,42,103.924,1.291,85,11,1%,9,1,2860%,2,013,10000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Molise,4,13.732,60,20,1,2%,1,0,000%,0,000,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
P.A. Bolzano,5,73.357,107,20,7,7%,6,1,000%,1,019,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
P.A. Trento,4,45.800,48,9,0,0%,0,0,000%,0,000,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Piemonte,42,363.170,701,16,68,10%,64,1,-720%,4,009,-3330%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Puglia,58,253.678,2.351,59,93,4%,84,2,-450%,9,023,1250%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Sardegna,28,57.383,2.339,145,34,1%,33,2,000%,1,006,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Sicilia,219,232.714,3.457,71,148,4%,128,3,-080%,20,041,530%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Toscana,94,244.719,1.486,40,83,6%,67,2,-290%,16,043,-590%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Umbria,11,56.903,639,73,14,2%,13,1,000%,1,011,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Valle d'Aosta,2,11.699,24,19,0,0%,0,0,000%,0,000,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Veneto,149,426.025,4.760,98,46,1%,40,1,530%,6,012,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
Italia,1.394,4.267.105,41.469,70,1.377,3%,1.197,2,-300%,180,030,000%,Dati della Protezione Civile del 08 Luglio 2021 ore 18:04
