Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,509,44972,10552,808,510,5%,461,35,1.8&,49,3.75,2.1%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Basilicata,85,13609,3277,588,85,3%,84,15,0&,1,0.18,-50%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Calabria,197,34064,8142,423,276,3%,249,13,-4.6&,27,1.4,3.8%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Campania,1546,230392,64240,1110,1607,3%,1499,26,0.6&,108,1.87,4.9%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Emilia-Romagna,1383,225545,42648,955,2139,5%,1956,44,-1.7&,183,4.1,0.5%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Friuli Venezia Giulia,413,69827,10872,898,596,5%,533,44,-0.6&,63,5.2,-3.1%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Lazio,1014,211500,56443,962,2543,5%,2273,39,0.4&,270,4.6,-0.7%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Liguria,276,71385,4594,298,670,15%,609,39,-3.5&,61,3.95,-1.6%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Lombardia,1923,547970,48309,478,3894,8%,3540,35,-0.3&,354,3.5,-1.4%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Marche,436,57747,7625,502,606,8%,531,35,-0.2&,75,4.94,1.4%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Molise,78,8776,1313,434,78,6%,66,22,1.5&,12,3.97,20%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
P.A. Bolzano,802,44011,4992,938,276,6%,242,45,-5.1&,34,6.39,-2.9%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
P.A. Trento,278,28733,2624,483,159,6%,131,24,-7.7&,28,5.16,-12.5%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Piemonte,717,227655,12182,281,2147,18%,2007,46,-0.7&,140,3.22,-4.8%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Puglia,926,128325,51075,1274,1584,3%,1427,36,0.8&,157,3.92,-6.5%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Sardegna,125,39373,14648,898,425,3%,394,24,-2.2&,31,1.9,6.9%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Sicilia,836,140980,39266,790,1405,4%,1228,25,-1.3&,177,3.56,-2.7%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Toscana,708,137950,10265,276,752,7%,643,17,0&,109,2.93,3.8%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Umbria,351,38102,6582,748,458,7%,388,44,2.9&,70,7.95,6.1%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Valle d'Aosta,8,7842,168,134,27,16%,24,19,-4&,3,2.39,0%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Veneto,831,316340,27217,555,1281,5%,1123,23,-5.9&,158,3.22,-8.1%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Italia,13442,2625098,427034,709,21518,5%,19408,32,-0.9&,2110,3.5,-1.5%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
