Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,361,93.277,6.982,543,149,2%,132,10,820%,17,132,-560%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Basilicata,127,33.037,1.826,333,30,2%,29,5,000%,1,018,000%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Calabria,449,100.649,8.507,453,240,3%,219,12,090%,21,112,1050%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Campania,2.006,517.083,26.031,458,454,2%,423,7,120%,31,055,000%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Emilia-Romagna,2.500,489.665,41.668,937,1.135,3%,1.032,23,470%,103,232,-370%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Friuli Venezia Giulia,487,143.831,8.246,688,315,4%,281,23,-140%,34,284,000%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Lazio,2.404,457.748,37.745,660,945,3%,828,14,-050%,117,205,450%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Liguria,754,134.305,8.498,563,376,4%,347,23,300%,29,192,-650%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Lombardia,5.397,997.861,67.668,679,1.385,2%,1.225,12,020%,160,161,390%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Marche,649,133.383,6.602,440,204,3%,168,11,310%,36,240,-530%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Molise,23,15.494,241,81,9,4%,7,2,000%,2,067,000%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
P.A. Bolzano,188,96.282,5.858,1.098,97,2%,80,15,530%,17,319,-560%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
P.A. Trento,204,56.163,3.161,580,110,3%,87,16,-220%,23,422,950%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Piemonte,1.569,427.257,25.457,596,752,3%,693,16,440%,59,138,540%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Puglia,497,287.155,7.178,183,174,2%,149,4,720%,25,064,000%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Sardegna,222,82.323,4.069,255,127,3%,116,7,-170%,11,069,1000%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Sicilia,1.212,342.546,20.787,429,575,3%,514,11,400%,61,126,1090%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Toscana,1.370,317.344,16.988,463,386,2%,327,9,-120%,59,161,170%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Umbria,356,71.175,3.753,434,63,2%,55,6,580%,8,092,000%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Valle d'Aosta,42,14.277,849,685,24,3%,22,18,1000%,2,161,000%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Veneto,3.442,578.300,60.161,1.240,1.142,2%,992,20,180%,150,309,-200%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Italia,24.259,5.389.155,362.275,611,8.692,2%,7.726,13,200%,966,163,140%,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
