Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.660,360.404,52.235,4.078,332,1%,319,25,-090%,13,101,3000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Basilicata,901,122.903,28.260,5.184,83,0%,80,15,-1010%,3,055,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Calabria,2.362,345.115,85.893,4.616,300,0%,283,15,040%,17,091,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Campania,8.161,1.558.785,167.258,2.974,746,0%,709,13,-380%,37,066,-510%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Emilia-Romagna,5.009,1.381.571,58.731,1.323,1.459,2%,1.422,32,-050%,37,083,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Friuli Venezia Giulia,1.188,357.401,24.493,2.039,160,1%,154,13,-380%,6,050,-2500%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Lazio,7.071,1.445.404,156.225,2.726,1.211,1%,1.143,20,-020%,68,119,-420%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Liguria,1.600,418.341,17.479,1.151,310,2%,295,19,070%,15,099,710%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Lombardia,8.516,2.717.998,160.202,1.605,1.215,1%,1.178,12,-210%,37,037,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Marche,2.063,432.905,7.728,516,186,2%,179,12,530%,7,047,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Molise,498,57.293,8.550,2.905,34,0%,34,12,630%,0,000,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
P.A. Bolzano,353,208.567,4.415,825,34,1%,33,6,-1320%,1,019,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
P.A. Trento,421,158.603,3.894,718,66,2%,63,12,-310%,3,055,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Piemonte,3.951,1.122.761,62.665,1.466,813,1%,791,19,-230%,22,051,-830%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Puglia,6.109,1.036.240,104.335,2.652,611,1%,577,15,-070%,34,086,-290%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Sardegna,1.875,268.981,30.237,1.902,325,1%,308,19,-030%,17,107,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Sicilia,4.944,1.083.490,117.274,2.426,876,1%,827,17,-150%,49,101,210%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Toscana,4.270,1.075.465,52.729,1.428,684,1%,665,18,-360%,19,051,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Umbria,1.474,261.296,12.846,1.484,235,2%,227,26,-220%,8,092,10000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Valle d'Aosta,110,34.525,1.462,1.178,20,1%,20,16,-910%,0,000,000%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Veneto,6.984,1.631.161,75.318,1.547,623,1%,607,12,-320%,16,033,-590%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
Italia,70.520,16.079.209,1.232.229,2.080,10.323,1%,9.914,17,-160%,409,069,-050%,Dati della Protezione Civile del 23 Aprile 2022 ore 23:45
