Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,19,81.624,1.494,115,55,4%,49,4,650%,6,046,2000%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Basilicata,18,30.435,1.160,210,25,2%,25,5,-380%,0,000,000%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Calabria,89,84.867,2.936,155,118,4%,109,6,190%,9,048,000%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Campania,245,459.082,6.397,112,191,3%,179,3,-480%,12,021,-770%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Emilia-Romagna,239,426.429,14.992,336,359,2%,315,7,230%,44,099,480%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Friuli Venezia Giulia,37,114.375,839,70,52,6%,43,4,240%,9,075,1250%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Lazio,221,387.211,9.144,159,390,4%,340,6,-230%,50,087,-380%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Liguria,70,113.352,985,65,59,6%,52,3,-190%,7,046,1670%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Lombardia,278,886.807,9.031,90,387,4%,333,3,-180%,54,054,-530%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Marche,91,114.532,2.301,152,56,2%,44,3,230%,12,079,000%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Molise,6,14.546,81,27,3,4%,2,1,000%,1,033,000%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
P.A. Bolzano,46,77.477,856,161,31,4%,25,5,000%,6,113,000%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
P.A. Trento,35,48.642,339,62,16,5%,13,2,000%,3,055,000%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Piemonte,114,380.577,3.345,78,181,5%,164,4,120%,17,039,630%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Puglia,62,269.758,2.382,60,154,6%,135,3,-070%,19,048,-500%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Sardegna,13,75.641,1.735,108,89,5%,77,5,-830%,12,074,000%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Sicilia,250,301.658,10.748,220,378,4%,335,7,-370%,43,088,240%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Toscana,208,284.458,5.842,158,241,4%,216,6,-310%,25,068,-740%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Umbria,12,64.122,672,77,46,7%,41,5,-890%,5,057,000%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Valle d'Aosta,1,12.207,110,88,2,2%,2,2,000%,0,000,000%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Veneto,224,472.516,9.419,193,182,2%,152,3,000%,30,061,-320%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
Italia,2.278,4.700.316,84.808,142,3.015,4%,2.651,4,-150%,364,061,-080%,Dati della Protezione Civile del 10 Ottobre 2021 ore 18:36
