Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,0,364.767,53.460,4.173,337,1%,325,25,000%,12,094,000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Basilicata,1.127,125.468,29.320,5.379,95,0%,95,17,920%,0,000,-10000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Calabria,3.057,352.430,86.129,4.629,313,0%,297,16,460%,16,086,-590%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Campania,10.785,1.584.369,171.358,3.047,791,0%,751,13,120%,40,071,000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Emilia-Romagna,2.972,1.395.288,56.234,1.267,1.381,2%,1.344,30,-1200%,37,083,-260%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Friuli Venezia Giulia,1.533,360.110,24.654,2.052,165,1%,155,13,-370%,10,083,6670%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Lazio,8.692,1.466.249,156.473,2.731,1.243,1%,1.177,21,-030%,66,115,000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Liguria,2.076,422.873,17.148,1.129,345,2%,330,22,-270%,15,099,-1180%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Lombardia,13.110,2.742.154,157.336,1.576,1.286,1%,1.251,13,300%,35,035,-540%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Marche,2.854,439.234,6.320,422,195,3%,190,13,-160%,5,033,-1670%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Molise,489,58.604,9.156,3.111,37,0%,37,13,-260%,0,000,000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
P.A. Bolzano,673,209.858,4.370,817,48,1%,46,9,1500%,2,037,-3330%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
P.A. Trento,576,159.908,3.747,691,84,2%,81,15,000%,3,055,000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Piemonte,5.973,1.134.229,63.174,1.478,823,1%,805,19,-430%,18,042,-2170%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Puglia,8.030,1.053.835,105.409,2.680,596,1%,568,14,-210%,28,071,-340%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Sardegna,2.862,274.587,29.886,1.880,329,1%,316,20,-060%,13,082,000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Sicilia,6.550,1.099.535,124.278,2.571,911,1%,862,18,240%,49,101,-390%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Toscana,5.653,1.087.228,50.109,1.357,673,1%,650,18,-370%,23,062,000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Umbria,1.127,264.453,12.309,1.422,224,2%,220,25,-270%,4,046,-2000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Valle d'Aosta,135,34.802,1.490,1.201,23,2%,23,19,2780%,0,000,000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Veneto,9.666,1.649.773,72.316,1.485,650,1%,632,13,290%,18,037,000%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
Italia,87.940,16.279.754,1.234.676,2.084,10.549,1%,10.155,17,-170%,394,067,-370%,Dati della Protezione Civile del 27 Aprile 2022 ore 23:45
