Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,486,409.305,17.231,1.345,175,1%,172,13,000%,3,023,000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Basilicata,184,138.918,15.189,2.786,43,0%,43,8,-230%,0,000,000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Calabria,503,394.204,32.799,1.763,163,0%,157,8,060%,6,032,-1430%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Campania,1.830,1.724.978,121.891,2.167,308,0%,296,5,-230%,12,021,-1430%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Emilia-Romagna,2.117,1.497.882,16.791,378,696,4%,671,15,-070%,25,056,-1670%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Friuli Venezia Giulia,392,381.346,19.442,1.618,87,0%,84,7,000%,3,025,20000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Lazio,2.844,1.596.738,117.663,2.053,516,0%,484,8,-620%,32,056,000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Liguria,594,453.165,4.924,324,143,3%,138,9,-070%,5,033,-3750%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Lombardia,3.158,2.911.719,97.417,976,513,1%,486,5,-140%,27,027,-1000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Marche,512,476.745,3.469,232,64,2%,61,4,000%,3,020,5000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Molise,94,66.528,3.128,1.063,11,0%,10,3,1110%,1,034,-5000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
P.A. Bolzano,354,219.461,1.639,306,41,3%,40,7,530%,1,019,000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
P.A. Trento,153,168.589,1.170,216,28,2%,28,5,1670%,0,000,-10000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Piemonte,1.153,1.205.370,25.355,593,247,1%,237,6,-330%,10,023,1110%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Puglia,1.347,1.142.378,20.447,520,257,1%,241,6,000%,16,041,670%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Sardegna,827,317.794,11.249,707,96,1%,90,6,230%,6,038,-1430%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Sicilia,2.081,1.210.325,60.929,1.261,550,1%,525,11,120%,25,052,-740%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Toscana,1.273,1.158.838,23.742,643,230,1%,215,6,-230%,15,041,-2110%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Umbria,448,289.321,6.877,795,99,1%,99,11,-290%,0,000,-10000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Valle d'Aosta,45,36.804,841,678,3,0%,3,2,-4000%,0,000,000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Veneto,1.966,1.765.653,26.802,550,225,1%,216,4,430%,9,018,-1000%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Italia,22.361,17.566.061,628.995,1.062,4.495,1%,4.296,7,-110%,199,034,-910%,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
