Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,326,1382,11,181,14,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Basilicata,93,389,3,79,14,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Calabria,292,1037,17,198,0,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Campania,731,4056,40,581,0,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Emilia-Romagna,1419,9001,33,889,0,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Friuli Venezia Giulia,159,1277,6,175,0,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Lazio,1175,6421,69,943,243,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Liguria,305,1646,15,215,12,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Lombardia,1196,10457,39,1810,0,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Marche,176,1013,5,252,44,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Molise,32,176,2,39,26,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
P.A. Bolzano,40,500,1,100,20,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
P.A. Trento,65,517,3,90,0,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Piemonte,806,6794,22,628,99,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Puglia,589,2903,37,503,0,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Sardegna,325,1602,17,204,16,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Sicilia,883,3734,48,823,0,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Toscana,719,5033,25,570,10,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Umbria,248,662,5,86,41,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Valle d'Aosta,21,163,0,34,0,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Veneto,631,6000,17,1000,0,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
Italia,10231,64763,415,9400,539,Dati della Protezione Civile del 21 Aprile 2022 ore 23:45
