Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.186,424.610,23.297,1.819,116,0%,112,9,000%,4,031,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Basilicata,354,144.007,10.009,1.836,49,0%,48,9,910%,1,018,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Calabria,1.123,409.685,34.440,1.851,166,0%,161,9,320%,5,027,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Campania,5.458,1.788.611,93.923,1.670,384,0%,361,6,-190%,23,041,1500%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Emilia-Romagna,4.487,1.551.189,40.378,910,893,2%,862,19,560%,31,070,330%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Friuli Venezia Giulia,910,395.693,11.048,920,156,1%,148,12,880%,8,067,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Lazio,6.693,1.682.040,139.350,2.432,604,0%,552,10,-040%,52,091,-370%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Liguria,1.103,468.574,11.064,729,170,2%,166,11,310%,4,026,10000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Lombardia,6.941,3.008.699,87.090,873,756,1%,741,7,360%,15,015,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Marche,1.283,491.804,4.638,310,76,2%,73,5,-640%,3,020,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Molise,320,69.684,2.572,874,11,0%,9,3,1250%,2,068,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
P.A. Bolzano,269,224.881,3.463,647,59,2%,58,11,000%,1,019,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
P.A. Trento,331,172.881,2.958,546,42,1%,42,8,2730%,0,000,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Piemonte,2.120,1.236.332,35.428,829,288,1%,279,7,610%,9,021,-1000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Puglia,3.022,1.184.830,34.640,881,278,1%,269,7,390%,9,023,-1000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Sardegna,1.252,341.302,20.696,1.302,113,1%,106,7,820%,7,044,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Sicilia,3.938,1.274.917,66.475,1.375,726,1%,703,15,260%,23,048,-800%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Toscana,2.759,1.195.655,42.512,1.151,349,1%,337,9,910%,12,032,910%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Umbria,955,300.675,11.191,1.293,130,1%,128,15,000%,2,023,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Valle d'Aosta,44,37.585,636,513,9,1%,9,7,-1000%,0,000,000%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Veneto,3.908,1.830.588,57.632,1.183,384,1%,368,8,480%,16,033,670%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
Italia,48.456,18.234.242,733.440,1.238,5.759,1%,5.532,9,360%,227,038,090%,Dati della Protezione Civile del 26 Giugno 2022 ore 23:45
