Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,38,1324,1,177,23,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Basilicata,19,326,1,88,13,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Calabria,71,754,5,169,0,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Campania,225,3832,10,548,195,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Emilia-Romagna,241,6538,20,760,0,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Friuli Venezia Giulia,19,1277,3,175,0,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Lazio,321,6421,48,943,193,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Liguria,32,1668,12,214,12,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Lombardia,210,6369,32,1416,114,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Marche,29,951,6,209,57,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Molise,0,176,1,39,26,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
P.A. Bolzano,7,391,3,100,0,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
P.A. Trento,9,517,1,90,0,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Piemonte,81,5824,6,628,99,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Puglia,83,2810,9,456,0,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Sardegna,77,1602,19,196,39,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Sicilia,320,2969,34,676,196,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Toscana,159,5033,20,570,37,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Umbria,19,687,2,91,36,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Valle d'Aosta,2,67,0,33,0,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Veneto,108,6000,16,1000,0,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
Italia,2070,55536,249,8578,1040,Dati della Protezione Civile del 02 Agosto 2021 ore 20:12
