Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,424,576.768,17.830,1.392,184,1%,179,14,060%,5,039,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Basilicata,107,186.996,5.563,1.020,34,1%,34,6,000%,0,000,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Calabria,326,571.636,11.491,618,162,1%,153,8,000%,9,048,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Campania,782,2.266.927,45.686,812,302,1%,285,5,480%,17,030,1330%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Emilia-Romagna,2.024,1.922.905,44.181,995,1.062,2%,1.027,23,420%,35,079,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,308,513.256,12.498,1.040,249,2%,238,20,530%,11,092,-2140%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Lazio,1.637,2.126.739,58.343,1.018,644,1%,605,11,580%,39,068,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Liguria,328,592.878,10.101,665,240,2%,234,15,830%,6,040,-1430%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Lombardia,1.864,3.697.105,95.248,954,1.169,1%,1.149,12,120%,20,020,2500%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Marche,409,642.293,8.815,588,148,2%,143,10,920%,5,033,-2860%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Molise,47,92.488,4.399,1.495,10,0%,10,3,1110%,0,000,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
P.A. Bolzano,198,275.828,5.881,1.099,134,2%,132,25,820%,2,037,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
P.A. Trento,127,224.538,4.988,920,98,2%,95,18,-210%,3,055,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Piemonte,1.480,1.548.868,54.380,1.272,803,1%,783,18,320%,20,047,530%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Puglia,464,1.500.800,14.275,363,128,1%,121,3,000%,7,018,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Sardegna,325,459.769,8.010,504,84,1%,79,5,390%,5,031,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Sicilia,535,1.670.636,18.233,377,282,2%,262,5,1010%,20,041,2500%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Toscana,512,1.442.452,50.536,1.368,448,1%,434,12,-160%,14,038,-1250%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Umbria,304,392.220,8.014,926,195,2%,194,22,100%,1,012,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Valle d'Aosta,29,46.470,1.334,1.075,36,3%,36,29,-1000%,0,000,000%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Veneto,1.209,2.362.441,64.282,1.320,770,1%,735,15,250%,35,072,-280%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
Italia,13.439,23.114.013,544.088,919,7.182,1%,6.928,12,320%,254,043,080%,Dati della Protezione Civile del 17 Ottobre 2022 ore 23:45
