Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,5.061,118.779,28.367,2.207,239,1%,216,17,1130%,23,179,450%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Basilicata,853,38.610,6.640,1.213,73,1%,70,13,-140%,3,055,5000%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Calabria,1.905,116.747,19.724,1.050,364,2%,335,18,370%,29,154,000%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Campania,12.058,621.053,109.067,1.920,838,1%,781,14,410%,57,100,-500%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Emilia-Romagna,8.773,575.032,110.758,2.491,1.714,2%,1.579,36,330%,135,304,310%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Friuli Venezia Giulia,3.806,163.858,20.078,1.675,334,2%,306,26,-060%,28,234,-670%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Lazio,9.377,540.603,102.622,1.794,1.445,1%,1.282,22,690%,163,285,320%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Liguria,2.068,155.640,14.450,957,593,4%,548,36,300%,45,298,-220%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Lombardia,50.104,1.328.584,343.962,3.451,2.546,1%,2.312,23,770%,234,235,680%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Marche,1.601,149.902,8.666,577,288,3%,235,16,130%,53,353,-190%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Molise,228,17.740,2.364,797,23,1%,21,7,000%,2,067,000%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
P.A. Bolzano,1.310,103.721,6.067,1.137,103,2%,84,16,000%,19,356,560%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
P.A. Trento,2.290,67.834,11.251,2.065,122,1%,100,18,-1150%,22,404,000%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Piemonte,20.453,529.874,98.860,2.313,1.528,2%,1.411,33,420%,117,274,450%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Puglia,3.670,322.846,36.723,935,370,1%,334,9,1170%,36,092,910%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Sardegna,1.123,91.466,10.480,656,167,2%,148,9,-1490%,19,119,560%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Sicilia,6.415,393.131,60.922,1.258,1.007,2%,893,18,240%,114,235,180%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Toscana,18.868,428.780,119.032,3.245,907,1%,822,22,890%,85,232,120%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Umbria,3.811,98.413,27.816,3.216,187,1%,177,20,930%,10,116,000%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Valle d'Aosta,468,17.455,3.089,2.493,51,2%,47,38,440%,4,323,3330%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Veneto,16.602,686.879,124.359,2.563,1.405,1%,1.211,25,350%,194,400,430%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Italia,170.844,6.566.947,1.265.297,2.135,14.304,1%,12.912,22,470%,1.392,235,300%,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
