Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,2.938,235.013,114.706,8.954,560,0%,529,41,370%,31,242,-880%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Basilicata,1.175,71.610,20.294,3.723,98,0%,92,17,110%,6,110,5000%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Calabria,2.453,184.087,44.098,2.370,404,1%,378,20,030%,26,140,400%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Campania,10.789,1.106.069,194.806,3.464,1.420,1%,1.338,24,-100%,82,146,250%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Emilia-Romagna,4.554,1.116.930,129.613,2.920,2.425,2%,2.285,51,-720%,140,315,-280%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Friuli Venezia Giulia,2.779,288.525,42.531,3.540,495,1%,455,38,-500%,40,333,-240%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Lazio,10.342,961.675,268.544,4.686,2.258,1%,2.074,36,-120%,184,321,-750%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Liguria,3.094,319.656,33.754,2.223,713,2%,682,45,-040%,31,204,-610%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Lombardia,12.194,2.225.713,238.769,2.392,2.716,1%,2.519,25,-150%,197,197,-480%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Marche,3.152,289.713,24.107,1.609,366,2%,316,21,-280%,50,334,-380%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Molise,340,32.949,8.569,2.912,47,1%,42,14,-670%,5,170,6670%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
P.A. Bolzano,1.703,174.455,14.446,2.701,144,1%,134,25,-360%,10,187,-910%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
P.A. Trento,1.079,130.915,11.450,2.112,177,2%,158,29,190%,19,350,560%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Piemonte,6.446,925.374,88.163,2.062,2.015,2%,1.922,45,-210%,93,218,-410%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Puglia,9.289,654.782,104.866,2.666,799,1%,732,19,-240%,67,170,-430%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Sardegna,3.018,141.262,29.895,1.880,437,1%,409,26,1270%,28,176,-970%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Sicilia,7.248,681.048,277.811,5.747,1.509,1%,1.385,29,-190%,124,257,-240%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Toscana,6.653,793.652,105.260,2.850,1.374,1%,1.277,35,-080%,97,263,-300%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Umbria,1.262,166.705,17.320,2.001,212,1%,201,23,-860%,11,127,2220%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Valle d'Aosta,155,30.365,2.794,2.252,52,2%,49,39,000%,3,242,000%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Veneto,11.201,1.235.269,156.004,3.203,1.492,1%,1.360,28,040%,132,271,-220%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
Italia,101.864,11.765.767,1.927.800,3.254,19.713,1%,18.337,31,-180%,1.376,232,-330%,Dati della Protezione Civile del 08 Febbraio 2022 ore 17:56
