Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,552,56031,13079,1002,736,6%,651,50,2%,85,6.51,3.7%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Basilicata,122,16103,4187,752,107,3%,97,17,-4%,10,1.8,0%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Calabria,226,38589,6354,330,223,4%,202,10,0.5%,21,1.09,5%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Campania,2780,276976,82958,1434,1497,2%,1357,23,0.1%,140,2.42,2.2%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Emilia-Romagna,2545,270155,48128,1077,2859,6%,2600,58,2.8%,259,5.8,3.2%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Friuli Venezia Giulia,643,78799,10940,903,455,4%,392,32,1.6%,63,5.2,1.6%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Lazio,1702,239682,36043,614,2101,6%,1860,32,1.8%,241,4.11,1.7%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Liguria,414,79406,5685,368,590,10%,535,35,1.7%,55,3.56,3.8%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Lombardia,5174,618742,72394,716,5267,7%,4735,47,4.2%,532,5.27,5.1%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Marche,919,70396,10170,670,667,7%,580,38,3.4%,87,5.73,3.6%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Molise,56,10922,1725,571,121,7%,100,33,6.4%,21,6.95,10.5%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
P.A. Bolzano,253,54694,6657,1251,233,4%,197,37,-3.9%,36,6.77,9.1%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
P.A. Trento,229,34921,3701,682,226,6%,180,33,-1.1%,46,8.48,-2.1%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Piemonte,2167,253602,19157,441,2359,12%,2171,50,1.4%,188,4.33,3.9%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Puglia,1438,151401,33806,843,1449,4%,1287,32,0.5%,162,4.04,-3.6%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Sardegna,81,41488,12701,779,216,2%,193,12,0.5%,23,1.41,15%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Sicilia,560,154701,24545,494,794,3%,676,14,-2.9%,118,2.38,0.9%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Toscana,1239,160572,19703,529,1202,6%,1029,28,0.8%,173,4.65,1.2%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Umbria,267,45619,7737,879,518,7%,436,50,1.2%,82,9.32,-1.2%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Valle d'Aosta,11,8083,168,134,15,9%,13,10,8.3%,2,1.59,0%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Veneto,1487,338237,26601,542,997,4%,866,18,3.1%,131,2.67,2.3%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
Italia,22865,2999119,446439,741,22632,5%,20157,33,2%,2475,4.11,2.7%,Dati della Protezione Civile del 04 Marzo 2021 ore 18:47
