Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,294,1382,14,181,14,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Basilicata,93,375,2,79,13,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Calabria,317,1039,13,198,0,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Campania,699,4060,36,581,0,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Emilia-Romagna,1310,9001,31,889,0,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Friuli Venezia Giulia,144,1277,3,175,0,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Lazio,1167,6421,70,943,243,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Liguria,303,1646,9,215,12,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Lombardia,1118,10457,37,1810,0,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Marche,191,1013,8,256,57,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Molise,29,176,2,39,26,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
P.A. Bolzano,38,500,2,100,20,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
P.A. Trento,47,517,1,90,0,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Piemonte,705,6794,21,628,99,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Puglia,630,2923,30,503,0,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Sardegna,336,1602,21,204,16,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Sicilia,951,3739,56,841,0,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Toscana,712,5033,36,570,10,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Umbria,266,662,5,86,41,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Valle d'Aosta,16,163,1,34,0,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Veneto,614,6000,21,1000,0,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
Italia,9980,64780,419,9422,551,Dati della Protezione Civile del 15 Aprile 2022 ore 23:45
