Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,755,539.592,26.618,2.078,140,1%,131,10,-640%,9,070,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Basilicata,236,178.905,7.231,1.326,44,1%,43,8,490%,1,018,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Calabria,1.031,538.505,65.445,3.517,169,0%,164,9,-410%,5,027,-3750%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Campania,1.865,2.183.099,105.217,1.871,294,0%,281,5,-340%,13,023,830%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Emilia-Romagna,1.918,1.821.405,25.984,585,928,4%,900,20,-1460%,28,063,-1520%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Friuli Venezia Giulia,655,475.747,7.155,596,157,2%,155,13,-370%,2,017,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Lazio,1.639,2.018.765,70.611,1.232,581,1%,538,9,-360%,43,075,-440%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Liguria,525,560.332,7.248,477,221,3%,216,14,-1000%,5,033,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Lombardia,3.137,3.473.431,44.775,449,655,1%,633,6,-390%,22,022,480%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Marche,649,604.668,6.234,416,80,1%,77,5,000%,3,020,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Molise,171,87.391,4.464,1.517,18,0%,18,6,-530%,0,000,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
P.A. Bolzano,224,255.227,1.980,370,35,2%,34,6,-1280%,1,019,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
P.A. Trento,325,203.887,3.147,580,73,2%,73,13,430%,0,000,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Piemonte,1.465,1.429.894,33.545,785,284,1%,278,7,-310%,6,014,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Puglia,1.114,1.453.388,19.855,505,241,1%,230,6,-460%,11,028,-2140%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Sardegna,446,439.121,10.521,662,100,1%,93,6,-790%,7,044,-3640%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Sicilia,1.476,1.620.372,70.777,1.464,426,1%,401,8,-630%,25,052,870%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Toscana,929,1.376.616,82.647,2.238,291,0%,280,8,-410%,11,030,1000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Umbria,361,365.549,3.780,437,153,4%,150,17,000%,3,035,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Valle d'Aosta,48,43.641,770,621,11,1%,11,9,-830%,0,000,000%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Veneto,2.848,2.198.222,47.929,984,403,1%,385,8,-280%,18,037,-530%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
Italia,21.817,21.867.757,645.933,1.090,5.304,1%,5.091,9,-620%,213,036,-580%,Dati della Protezione Civile del 31 Agosto 2022 ore 23:45
