Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.591,483.504,49.607,3.872,295,1%,285,22,-140%,10,078,2500%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Basilicata,813,164.157,15.968,2.929,106,1%,106,19,190%,0,000,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Calabria,3.086,471.456,71.391,3.837,342,0%,323,17,-150%,19,102,560%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Campania,9.112,2.044.434,183.331,3.260,761,0%,728,13,030%,33,059,-290%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Emilia-Romagna,7.503,1.706.624,84.116,1.895,1.757,2%,1.714,39,210%,43,097,-650%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Friuli Venezia Giulia,2.292,436.975,23.864,1.986,295,1%,289,24,030%,6,050,-1430%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Lazio,7.152,1.898.577,229.029,3.997,1.145,0%,1.074,19,140%,71,124,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Liguria,2.189,517.117,23.775,1.566,436,2%,424,28,100%,12,079,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Lombardia,11.218,3.287.127,164.694,1.650,1.612,1%,1.573,16,190%,39,039,260%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Marche,2.520,552.039,21.790,1.454,216,1%,209,14,350%,7,047,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Molise,425,78.980,5.407,1.837,20,0%,18,6,000%,2,068,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
P.A. Bolzano,861,241.331,8.002,1.496,104,1%,101,19,-290%,3,056,5000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
P.A. Trento,830,188.511,8.106,1.495,97,1%,94,17,-210%,3,055,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Piemonte,4.987,1.347.135,61.642,1.442,635,1%,619,14,250%,16,037,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Puglia,6.205,1.350.176,80.602,2.049,496,1%,479,12,-220%,17,043,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Sardegna,2.659,400.636,40.169,2.526,179,0%,170,11,-230%,9,057,-1000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Sicilia,6.236,1.505.317,161.279,3.337,1.027,1%,980,20,-500%,47,097,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Toscana,4.259,1.304.489,94.446,2.558,811,1%,783,21,320%,28,076,-970%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Umbria,1.690,338.193,23.875,2.759,289,1%,282,33,-070%,7,081,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Valle d'Aosta,205,40.683,1.827,1.472,33,2%,32,26,000%,1,081,000%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Veneto,9.234,2.028.353,106.456,2.186,791,1%,754,15,130%,37,076,280%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
Italia,86.067,20.385.814,1.459.376,2.464,11.447,1%,11.037,19,060%,410,069,-070%,Dati della Protezione Civile del 20 Luglio 2022 ore 23:45
