Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,181,85.661,3.298,255,95,3%,84,6,-670%,11,085,000%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Basilicata,20,31.240,941,170,23,2%,21,4,-450%,2,036,000%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Calabria,162,90.581,3.687,195,123,3%,111,6,-1050%,12,063,2000%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Campania,885,480.556,13.588,238,322,2%,298,5,070%,24,042,000%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Emilia-Romagna,1.014,443.434,12.688,284,517,4%,468,10,260%,49,110,890%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Friuli Venezia Giulia,533,124.885,5.528,458,219,4%,194,16,260%,25,207,870%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Lazio,1.229,409.922,14.165,246,696,5%,611,11,080%,85,148,490%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Liguria,351,118.632,2.768,182,113,4%,100,7,310%,13,085,830%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Lombardia,1.735,912.642,19.459,194,680,3%,623,6,670%,57,057,180%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Marche,390,120.020,3.623,240,88,2%,67,4,470%,21,139,-450%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Molise,25,14.960,309,103,8,3%,7,2,4000%,1,033,000%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
P.A. Bolzano,371,83.823,4.051,761,85,2%,76,14,700%,9,169,000%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
P.A. Trento,102,50.652,957,175,39,4%,32,6,1850%,7,128,4000%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Piemonte,538,392.102,7.121,165,339,5%,310,7,470%,29,067,-330%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Puglia,284,277.005,3.811,96,165,4%,149,4,-200%,16,040,670%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Sardegna,140,77.641,2.133,132,54,3%,44,3,480%,10,062,000%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Sicilia,640,317.296,10.033,206,370,4%,332,7,-380%,38,078,-1160%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Toscana,518,296.464,7.746,210,301,4%,263,7,-190%,38,103,-730%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Umbria,95,66.656,1.599,184,44,3%,37,4,-750%,7,080,000%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Valle d'Aosta,48,12.657,328,262,9,3%,8,6,000%,1,080,000%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Veneto,1.283,497.612,19.297,396,367,2%,310,6,130%,57,117,360%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Italia,10.544,4.904.441,137.130,230,4.657,3%,4.145,7,140%,512,086,180%,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
