Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,3.746,352.782,49.731,3.882,338,1%,327,26,030%,11,086,2220%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Basilicata,1.213,120.203,27.398,5.026,102,0%,99,18,-100%,3,055,-2500%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Calabria,3.551,337.966,84.574,4.546,311,0%,293,16,-270%,18,097,000%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Campania,12.275,1.533.065,157.974,2.809,780,0%,739,13,590%,41,073,-890%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Emilia-Romagna,3.432,1.365.151,55.940,1.260,1.430,3%,1.396,31,040%,34,077,300%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Friuli Venezia Giulia,1.503,353.722,24.732,2.058,170,1%,166,14,-120%,4,033,3330%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Lazio,10.681,1.422.790,149.519,2.609,1.220,1%,1.151,20,-200%,69,120,300%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Liguria,2.583,413.140,16.180,1.066,331,2%,319,21,-060%,12,079,000%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Lombardia,14.065,2.690.610,160.397,1.607,1.207,1%,1.169,12,190%,38,038,860%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Marche,2.894,426.693,8.109,541,184,2%,179,12,-430%,5,033,-2860%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Molise,316,55.774,8.608,2.925,32,0%,30,10,340%,2,068,000%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
P.A. Bolzano,766,207.124,4.628,865,37,1%,34,6,000%,3,056,5000%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
P.A. Trento,618,157.205,3.701,683,72,2%,69,13,620%,3,055,000%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Piemonte,5.279,1.112.083,60.495,1.415,796,1%,773,18,030%,23,054,-420%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Puglia,8.887,1.018.468,101.417,2.578,626,1%,587,15,-330%,39,099,1140%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Sardegna,2.870,262.229,30.206,1.900,345,1%,327,21,-090%,18,113,-1430%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Sicilia,7.034,1.066.352,127.549,2.639,943,1%,895,19,-420%,48,099,-770%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Toscana,6.564,1.062.018,49.689,1.346,754,2%,731,20,030%,23,062,-2070%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Umbria,1.648,257.015,11.987,1.385,271,2%,267,31,940%,4,046,3330%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Valle d'Aosta,169,34.198,1.458,1.175,18,1%,18,15,-1820%,0,000,-10000%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Veneto,9.754,1.609.854,72.608,1.491,653,1%,638,13,020%,15,031,-1180%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
Italia,99.848,15.858.442,1.206.900,2.037,10.620,1%,10.207,17,-010%,413,070,-210%,Dati della Protezione Civile del 20 Aprile 2022 ore 23:45
