Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,2.345,281.689,32.486,2.536,297,1%,284,22,040%,13,101,000%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Basilicata,1.148,91.824,18.600,3.412,90,0%,87,16,000%,3,055,5000%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Calabria,4.547,248.689,54.421,2.925,345,1%,329,18,120%,16,086,1430%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Campania,9.179,1.273.116,127.266,2.263,590,0%,553,10,-330%,37,066,880%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Emilia-Romagna,2.279,1.219.922,30.540,688,1.098,4%,1.045,24,-310%,53,119,-360%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Friuli Venezia Giulia,1.225,317.749,18.373,1.529,147,1%,138,11,-280%,9,075,1250%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Lazio,10.562,1.151.409,98.235,1.714,1.128,1%,1.054,18,170%,74,129,-390%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Liguria,2.019,361.583,13.572,894,252,2%,241,16,-620%,11,072,-1540%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Lombardia,9.540,2.407.160,119.901,1.201,902,1%,829,8,550%,73,073,000%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Marche,3.271,351.836,14.388,960,165,1%,153,10,-440%,12,080,-1430%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Molise,276,43.020,6.754,2.295,24,0%,22,7,-1200%,2,068,000%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
P.A. Bolzano,1.115,196.378,5.460,1.021,63,1%,60,11,1760%,3,056,5000%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
P.A. Trento,482,143.286,3.018,557,34,1%,32,6,-860%,2,037,000%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Piemonte,3.206,1.006.674,44.373,1.038,638,1%,615,14,-100%,23,054,-1480%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Puglia,8.211,798.870,84.537,2.149,576,1%,549,14,-270%,27,069,380%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Sardegna,3.050,198.145,25.661,1.614,346,1%,328,21,150%,18,113,000%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Sicilia,6.099,867.374,233.395,4.828,941,0%,882,18,260%,59,122,-920%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Toscana,6.574,904.984,32.218,872,690,2%,655,18,190%,35,095,-790%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Umbria,2.746,204.484,16.816,1.943,172,1%,168,19,120%,4,046,-2000%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Valle d'Aosta,101,31.654,992,799,17,2%,16,13,-1580%,1,081,000%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Veneto,7.313,1.389.473,55.118,1.132,460,1%,433,9,-050%,27,055,-690%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
Italia,85.288,13.489.319,1.036.124,1.749,8.975,1%,8.473,14,010%,502,085,-310%,Dati della Protezione Civile del 15 Marzo 2022 ore 19:08
