Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.345,423.424,22.388,1.748,116,1%,112,9,180%,4,031,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Basilicata,436,143.653,10.179,1.867,45,0%,44,8,230%,1,018,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Calabria,1.351,408.562,33.617,1.807,161,0%,156,8,470%,5,027,-1670%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Campania,5.908,1.783.153,89.611,1.593,388,0%,368,7,890%,20,036,-480%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Emilia-Romagna,4.546,1.546.702,38.442,866,846,2%,816,18,300%,30,068,340%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Friuli Venezia Giulia,1.387,394.783,10.931,910,144,1%,136,11,000%,8,067,6000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Lazio,6.992,1.675.347,133.771,2.334,608,0%,554,10,-180%,54,094,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Liguria,962,467.471,10.933,720,163,1%,161,11,450%,2,013,-3330%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Lombardia,8.115,3.001.758,81.878,820,730,1%,715,7,190%,15,015,-1180%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Marche,1.226,490.521,3.982,266,81,2%,78,5,-600%,3,020,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Molise,322,69.364,2.310,785,10,0%,8,3,-2730%,2,068,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
P.A. Bolzano,386,224.612,3.511,656,59,2%,58,11,000%,1,019,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
P.A. Trento,381,172.550,2.818,520,33,1%,33,6,000%,0,000,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Piemonte,2.399,1.234.212,34.638,810,273,1%,263,6,400%,10,023,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Puglia,3.726,1.181.808,32.917,837,269,1%,259,7,1020%,10,025,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Sardegna,1.853,340.050,19.536,1.229,105,1%,98,6,-580%,7,044,-1250%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Sicilia,4.142,1.270.110,62.909,1.301,710,1%,685,14,030%,25,052,-380%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Toscana,3.294,1.192.896,41.395,1.121,320,1%,309,8,580%,11,030,-830%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Umbria,941,299.720,10.795,1.247,130,1%,128,15,580%,2,023,10000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Valle d'Aosta,61,37.541,597,481,10,2%,10,8,000%,0,000,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Veneto,6.613,1.826.680,56.321,1.157,366,1%,351,7,510%,15,031,2500%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Italia,56.386,18.184.917,703.479,1.188,5.567,1%,5.342,9,260%,225,038,000%,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
