Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,3.551,201.342,100.153,7.818,449,0%,408,32,-220%,41,320,790%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Basilicata,1.000,59.124,17.450,3.201,97,1%,92,17,950%,5,092,-1670%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Calabria,1.569,163.087,40.363,2.169,445,1%,411,22,-440%,34,183,-290%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Campania,12.854,981.953,240.319,4.273,1.482,1%,1.380,25,-100%,102,181,000%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Emilia-Romagna,19.028,980.678,396.015,8.921,2.729,1%,2.577,58,-070%,152,342,130%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Friuli Venezia Giulia,4.104,249.702,64.114,5.336,530,1%,489,41,340%,41,341,-240%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Lazio,14.987,825.879,283.379,4.945,2.307,1%,2.102,37,180%,205,358,-050%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Liguria,5.708,277.205,43.031,2.834,783,2%,743,49,-260%,40,263,260%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Lombardia,27.808,2.044.124,443.503,4.443,3.664,1%,3.405,34,-020%,259,259,-190%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Marche,6.196,238.395,21.918,1.463,357,2%,299,20,140%,58,387,-170%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Molise,457,28.090,9.199,3.126,37,0%,34,12,630%,3,102,5000%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
P.A. Bolzano,2.573,153.775,26.688,4.989,120,0%,106,20,-190%,14,262,-1760%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
P.A. Trento,2.138,116.071,25.131,4.635,171,1%,147,27,000%,24,443,430%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Piemonte,14.207,829.743,166.918,3.905,2.258,1%,2.119,50,020%,139,325,-350%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Puglia,8.759,570.435,122.990,3.127,746,1%,685,17,-410%,61,155,-900%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Sardegna,1.461,119.989,22.936,1.442,359,2%,327,21,-090%,32,201,320%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Sicilia,7.917,590.777,226.104,4.678,1.615,1%,1.460,30,-030%,155,321,-190%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Toscana,10.535,694.195,176.918,4.791,1.491,1%,1.369,37,060%,122,330,-240%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Umbria,2.156,147.254,24.467,2.827,197,1%,190,22,-210%,7,081,000%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Valle d'Aosta,378,27.893,5.427,4.373,80,1%,74,60,-260%,6,484,-1430%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Veneto,19.820,1.083.850,259.558,5.330,1.749,1%,1.584,33,150%,165,339,-410%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
Italia,167.206,10.383.561,2.716.581,4.586,21.666,1%,20.001,34,-010%,1.665,281,-170%,Dati della Protezione Civile del 26 Gennaio 2022 ore 18:32
