Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,254,1382,12,181,14,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Basilicata,92,377,2,79,13,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Calabria,318,1108,16,202,0,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Campania,544,4221,26,636,0,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Emilia-Romagna,1070,9001,62,889,0,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Friuli Venezia Giulia,148,1277,12,175,0,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Lazio,1037,6421,79,943,243,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Liguria,248,1644,14,219,12,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Lombardia,776,10457,72,1810,0,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Marche,169,1020,15,256,49,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Molise,19,176,3,39,26,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
P.A. Bolzano,57,500,3,100,20,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
P.A. Trento,45,517,2,90,0,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Piemonte,635,6794,29,628,99,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Puglia,543,2923,29,503,0,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Sardegna,313,1602,18,204,16,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Sicilia,869,3766,64,850,0,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Toscana,673,5033,43,570,10,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Umbria,142,662,5,86,41,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Valle d'Aosta,16,163,1,34,0,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Veneto,446,6000,38,1000,0,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
Italia,8414,65044,545,9494,543,Dati della Protezione Civile del 10 Marzo 2022 ore 18:57
