Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,121,84.954,2.887,223,95,3%,83,6,510%,12,093,-770%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Basilicata,28,31.155,911,165,25,3%,24,4,-1110%,1,018,000%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Calabria,152,90.024,3.718,196,128,3%,117,6,000%,11,058,-830%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Campania,675,477.763,12.630,221,323,3%,302,5,310%,21,037,000%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Emilia-Romagna,566,440.738,11.096,249,475,4%,433,10,360%,42,094,000%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Friuli Venezia Giulia,313,123.063,4.929,409,193,4%,168,14,630%,25,207,870%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Lazio,827,406.660,12.667,220,679,5%,605,11,450%,74,129,-130%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Liguria,174,117.695,2.302,151,118,5%,107,7,490%,11,072,3750%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Lombardia,1.409,907.344,16.869,168,575,3%,524,5,1390%,51,051,200%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Marche,226,119.014,3.269,216,91,3%,67,4,-430%,24,159,430%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Molise,1,14.865,240,80,2,1%,1,0,000%,1,033,000%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
P.A. Bolzano,143,82.662,3.535,664,79,2%,70,13,-540%,9,169,000%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
P.A. Trento,105,50.343,760,139,30,4%,26,5,3680%,4,073,3330%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Piemonte,523,390.380,6.287,146,307,5%,287,7,290%,20,046,-1670%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Puglia,161,276.109,3.687,93,187,5%,166,4,250%,21,053,000%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Sardegna,109,77.257,1.909,118,53,3%,44,3,000%,9,056,1250%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Sicilia,472,315.635,9.536,196,398,4%,351,7,380%,47,096,220%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Toscana,305,295.233,7.467,202,301,4%,267,7,110%,34,092,300%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Umbria,74,66.385,1.553,178,45,3%,40,5,530%,5,057,000%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Valle d'Aosta,36,12.505,199,159,8,4%,7,6,-2220%,1,080,000%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Veneto,1.278,493.291,16.945,347,339,2%,281,6,140%,58,119,180%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
Italia,7.698,4.873.075,123.396,207,4.451,4%,3.970,7,430%,481,081,130%,Dati della Protezione Civile del 16 Novembre 2021 ore 18:34
