Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,4.627,197.797,96.991,7.571,455,0%,417,33,-050%,38,297,270%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Basilicata,1.345,58.124,17.339,3.181,90,1%,84,15,-450%,6,110,000%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Calabria,1.256,161.518,41.095,2.209,465,1%,430,23,-110%,35,188,610%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Campania,16.380,969.099,241.411,4.292,1.496,1%,1.394,25,020%,102,181,200%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Emilia-Romagna,13.561,961.666,383.976,8.650,2.744,1%,2.594,58,-120%,150,338,140%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Friuli Venezia Giulia,4.608,245.616,63.203,5.260,515,1%,473,39,190%,42,350,770%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Lazio,17.165,810.892,278.577,4.861,2.271,1%,2.065,36,090%,206,359,200%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Liguria,7.169,271.497,43.063,2.836,802,2%,763,50,380%,39,257,000%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Lombardia,28.372,2.016.316,425.695,4.265,3.675,1%,3.411,34,-010%,264,264,-040%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Marche,7.806,232.199,21.746,1.451,354,2%,295,20,-030%,59,394,930%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Molise,369,27.633,9.280,3.153,34,0%,32,11,6840%,2,068,000%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
P.A. Bolzano,0,147.428,26.422,4.940,125,0%,108,20,000%,17,318,000%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
P.A. Trento,2.740,113.933,25.541,4.711,170,1%,147,27,140%,23,424,-420%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Piemonte,18.656,815.536,169.764,3.971,2.259,1%,2.115,49,-120%,144,337,-590%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Puglia,12.751,561.676,121.543,3.090,781,1%,714,18,-040%,67,170,000%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Sardegna,1.433,118.528,22.968,1.444,361,2%,330,21,1340%,31,195,330%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Sicilia,7.516,582.860,220.293,4.557,1.622,1%,1.464,30,020%,158,327,-370%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Toscana,13.810,683.660,178.553,4.835,1.486,1%,1.361,37,060%,125,338,000%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Umbria,2.384,145.098,24.610,2.844,201,1%,194,22,160%,7,081,-1250%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Valle d'Aosta,480,27.515,5.443,4.386,83,2%,76,61,-620%,7,564,000%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Veneto,24.312,1.064.030,271.653,5.578,1.732,1%,1.560,32,830%,172,353,420%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
Italia,186.740,10.212.621,2.689.166,4.540,21.721,1%,20.027,34,080%,1.694,286,050%,Dati della Protezione Civile del 25 Gennaio 2022 ore 19:22
