Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,438,66.594,10.728,822,654,6%,585,45,210%,69,528,-280%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Basilicata,119,20.018,5.022,902,185,4%,173,31,-110%,12,215,000%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Calabria,511,48.904,11.483,597,466,4%,429,22,210%,37,192,-260%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Campania,1.908,345.826,92.964,1.607,1.662,2%,1.509,26,-370%,153,264,070%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Emilia-Romagna,1.700,342.915,72.188,1.616,3.477,5%,3.117,70,-200%,360,806,-160%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Friuli Venezia Giulia,342,99.517,13.760,1.136,664,5%,582,48,-230%,82,677,510%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Lazio,1.523,292.357,52.647,898,3.462,7%,3.071,52,-020%,391,667,-030%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Liguria,412,91.378,7.557,490,756,10%,680,44,430%,76,493,-260%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Lombardia,3.003,751.043,93.964,930,7.486,8%,6.622,66,-060%,864,855,020%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Marche,323,90.186,8.731,575,886,10%,744,49,-520%,142,935,140%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Molise,40,12.434,792,262,64,8%,49,16,-1090%,15,496,710%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
P.A. Bolzano,81,69.419,600,113,92,15%,76,14,1010%,16,301,000%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
P.A. Trento,169,41.781,2.723,502,234,9%,183,34,220%,51,940,000%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Piemonte,1.425,317.358,33.955,782,4.207,12%,3.837,88,050%,370,852,030%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Puglia,1.628,201.195,51.171,1.277,2.148,4%,1.896,47,-010%,252,629,-160%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Sardegna,323,46.978,15.556,954,298,2%,257,16,080%,41,251,790%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Sicilia,1.015,178.656,22.852,460,1.127,5%,974,20,800%,153,308,070%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Toscana,1.626,201.744,29.228,785,1.888,6%,1.614,43,070%,274,736,-140%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Umbria,152,51.529,4.541,516,352,8%,302,34,-470%,50,568,-570%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Valle d'Aosta,102,9.646,1.106,881,65,6%,52,41,-550%,13,1036,830%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Veneto,1.185,388.786,37.467,763,1.962,5%,1.680,34,170%,282,575,-140%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
Italia,18.025,3.668.264,569.035,945,32.135,6%,28.432,47,-020%,3.703,615,-030%,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20
