Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,74,80.177,2.237,173,77,3%,70,5,-280%,7,054,1670%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Basilicata,46,29.489,1.342,243,52,4%,48,9,-200%,4,072,000%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Calabria,229,80.912,5.087,269,177,3%,159,8,-120%,18,095,590%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Campania,371,450.673,8.304,145,363,4%,341,6,-030%,22,039,480%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Emilia-Romagna,453,417.795,15.033,337,443,3%,398,9,210%,45,101,470%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Friuli Venezia Giulia,61,112.344,1.444,120,54,4%,44,4,000%,10,083,-910%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Lazio,323,379.020,12.765,222,504,4%,442,8,-070%,62,108,510%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Liguria,97,111.305,1.835,120,94,5%,85,6,370%,9,059,000%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Lombardia,449,876.310,11.502,115,472,4%,412,4,250%,60,060,170%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Marche,130,112.335,3.327,220,83,2%,59,4,000%,24,159,430%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Molise,19,14.412,250,83,11,4%,11,4,000%,0,000,000%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
P.A. Bolzano,94,75.941,1.013,190,30,3%,23,4,-800%,7,131,000%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
P.A. Trento,19,47.878,439,80,17,4%,17,3,-1500%,0,000,000%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Piemonte,228,375.319,3.863,90,215,6%,190,4,500%,25,058,420%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Puglia,127,265.994,3.741,95,203,5%,182,5,000%,21,053,500%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Sardegna,76,74.160,5.240,325,233,4%,208,13,-550%,25,155,420%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Sicilia,885,288.711,26.190,537,892,3%,786,16,-190%,106,217,000%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Toscana,431,276.793,9.389,254,429,5%,374,10,-130%,55,149,000%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Umbria,86,62.827,1.445,166,53,4%,46,5,-980%,7,080,000%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Valle d'Aosta,1,12.054,78,62,2,3%,2,2,000%,0,000,000%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Veneto,465,461.964,12.810,263,268,2%,216,4,850%,52,107,000%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
Italia,4.664,4.606.413,127.334,213,4.672,4%,4.113,7,-010%,559,094,220%,Dati della Protezione Civile del 12 Settembre 2021 ore 18:29
