Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.826,520.053,43.768,3.417,266,1%,258,20,-340%,8,062,-2730%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Basilicata,360,173.337,10.476,1.922,62,1%,59,11,-780%,3,055,000%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Calabria,1.895,509.880,71.080,3.820,291,0%,282,15,-210%,9,048,-1820%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Campania,4.112,2.138.911,132.443,2.355,512,0%,487,9,-320%,25,044,420%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Emilia-Romagna,1.272,1.783.556,40.254,907,1.489,4%,1.446,33,-350%,43,097,000%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Friuli Venezia Giulia,1.185,461.848,15.968,1.329,242,2%,239,20,440%,3,025,-2500%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Lazio,3.333,1.980.113,171.744,2.997,967,1%,909,16,-430%,58,101,180%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Liguria,1.546,545.484,14.902,981,392,3%,385,25,-450%,7,046,000%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Lombardia,5.474,3.411.536,81.535,817,1.174,1%,1.137,11,110%,37,037,570%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Marche,1.514,586.885,15.921,1.063,174,1%,170,11,-500%,4,027,000%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Molise,158,83.905,5.741,1.951,30,1%,29,10,1150%,1,034,000%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
P.A. Bolzano,546,250.274,3.894,728,58,1%,58,11,-2370%,0,000,000%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
P.A. Trento,500,197.640,4.460,823,75,2%,72,13,-650%,3,055,000%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Piemonte,2.630,1.401.904,40.373,944,463,1%,453,11,-720%,10,023,-1670%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Puglia,3.307,1.421.700,43.397,1.103,419,1%,405,10,-330%,14,036,-1250%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Sardegna,1.200,426.192,23.407,1.472,172,1%,161,10,000%,11,069,000%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Sicilia,3.737,1.583.091,126.242,2.612,851,1%,809,17,-090%,42,087,-230%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Toscana,2.237,1.354.538,86.887,2.353,574,1%,552,15,-210%,22,060,480%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Umbria,722,357.090,15.804,1.826,245,2%,243,28,000%,2,023,-6670%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Valle d'Aosta,101,42.637,1.094,882,16,1%,16,13,-590%,0,000,000%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Veneto,5.429,2.137.906,68.937,1.416,675,1%,646,13,-200%,29,060,740%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
Italia,43.084,21.368.480,1.018.327,1.719,9.147,1%,8.816,15,-260%,331,056,-240%,Dati della Protezione Civile del 09 Agosto 2022 ore 23:45
